LIMS	// User ID
11-12-2017	// Evaluation date
P023__15__[321-16-21-1]	17-11-2017	16:20:58:041	// Source file name and timestamp
2000.000	// Sampling rate
3.579	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-6.994199	2.152646	NaN	1146.314350	
1	-7.020195	2.120763	NaN	1146.314350	
2	-7.045595	2.093266	NaN	1146.314350	
3	-7.069044	2.071710	NaN	1146.314350	
4	-7.090556	2.057246	NaN	1146.314350	
5	-7.109771	2.050129	NaN	1146.314350	
6	-7.124769	2.049183	NaN	1146.314350	
7	-7.131963	2.052583	NaN	1146.314350	
8	-7.127064	2.059169	NaN	1146.314350	
9	-7.106592	2.068658	NaN	1146.314350	
10	-7.068860	2.081352	NaN	1146.314350	
11	-7.014189	2.098426	NaN	1146.314350	
12	-6.944951	2.121696	NaN	1146.314350	
13	-6.865426	2.152304	NaN	1146.314350	
14	-6.780914	2.189917	NaN	1146.314350	
15	-6.696313	2.233255	NaN	1146.314350	
16	-6.614976	2.280841	NaN	1146.314350	
17	-6.537777	2.331179	NaN	1146.314350	
18	-6.462917	2.382654	NaN	1146.314350	
19	-6.387325	2.433695	NaN	1146.314350	
20	-6.308279	2.483507	NaN	1146.314350	
21	-6.224186	2.532558	NaN	1146.314350	
22	-6.134833	2.581733	NaN	1146.314350	
23	-6.040572	2.630948	NaN	1146.314350	
24	-5.941522	2.679117	NaN	1146.314350	
25	-5.838503	2.725461	NaN	1146.314350	
26	-5.733711	2.770285	NaN	1146.314350	
27	-5.629740	2.814402	NaN	1146.314350	
28	-5.528624	2.858306	NaN	1146.314350	
29	-5.432003	2.901609	NaN	1146.314350	
30	-5.342130	2.942438	NaN	1146.314350	
31	-5.262625	2.977589	NaN	1146.314350	
32	-5.197840	3.003748	NaN	1146.314350	
33	-5.151112	3.018416	NaN	1146.314350	
34	-5.123528	3.020054	NaN	1146.314350	
35	-5.114582	3.007990	NaN	1146.314350	
36	-5.123033	2.982393	NaN	1146.314350	
37	-5.146276	2.944281	NaN	1146.314350	
38	-5.180199	2.895594	NaN	1146.314350	
39	-5.220125	2.839029	NaN	1146.314350	
40	-5.261703	2.777370	NaN	1146.314350	
41	-5.302115	2.712820	NaN	1146.314350	
42	-5.340771	2.646872	NaN	1146.314350	
43	-5.378964	2.580701	NaN	1146.314350	
44	-5.419053	2.515822	NaN	1146.314350	
45	-5.462816	2.454210	NaN	1146.314350	
46	-5.510083	2.397878	NaN	1146.314350	
47	-5.558982	2.348735	NaN	1146.314350	
48	-5.606973	2.308717	NaN	1146.314350	
49	-5.651840	2.279633	NaN	1146.314350	
50	-5.692421	2.262444	NaN	1146.314350	
51	-5.728807	2.256485	NaN	1146.314350	
52	-5.762031	2.259447	NaN	1146.314350	
53	-5.793240	2.268103	NaN	1146.314350	
54	-5.822856	2.278982	NaN	1146.314350	
55	-5.850299	2.288757	NaN	1146.314350	
56	-5.873932	2.294903	NaN	1146.314350	
57	-5.891256	2.296410	NaN	1146.314350	
58	-5.900210	2.293729	NaN	1146.314350	
59	-5.901074	2.287671	NaN	1146.314350	
60	-5.896483	2.278053	NaN	1146.314350	
61	-5.889821	2.263691	NaN	1146.314350	
62	-5.884242	2.243748	NaN	1146.314350	
63	-5.881682	2.218816	NaN	1146.314350	
64	-5.882089	2.190964	NaN	1146.314350	
65	-5.884577	2.162734	NaN	1146.314350	
66	-5.888824	2.135603	NaN	1146.314350	
67	-5.894763	2.109244	NaN	1146.314350	
68	-5.901717	2.082357	NaN	1146.314350	
69	-5.908355	2.054304	NaN	1146.314350	
