LIMS	// User ID
11-12-2017	// Evaluation date
P030__14__[321-19-18-9]	17-11-2017	19:18:05:538	// Source file name and timestamp
2000.000	// Sampling rate
4.399	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-4.975908	-9.368899	NaN	2005.669654	
1	-5.027738	-9.377039	NaN	2005.669654	
2	-5.082932	-9.398029	NaN	2005.669654	
3	-5.138838	-9.433990	NaN	2005.669654	
4	-5.191203	-9.485827	NaN	2005.669654	
5	-5.236805	-9.554090	NaN	2005.669654	
6	-5.275281	-9.640087	NaN	2005.669654	
7	-5.308503	-9.745348	NaN	2005.669654	
8	-5.338916	-9.870250	NaN	2005.669654	
9	-5.368780	-10.013409	NaN	2005.669654	
10	-5.400254	-10.172096	NaN	2005.669654	
11	-5.434632	-10.343406	NaN	2005.669654	
12	-5.471800	-10.524579	NaN	2005.669654	
13	-5.511370	-10.712192	NaN	2005.669654	
14	-5.552636	-10.902159	NaN	2005.669654	
15	-5.593645	-11.089970	NaN	2005.669654	
16	-5.632810	-11.270343	NaN	2005.669654	
17	-5.671397	-11.437692	NaN	2005.669654	
18	-5.713561	-11.587406	NaN	2005.669654	
19	-5.763653	-11.716361	NaN	2005.669654	
20	-5.823521	-11.822388	NaN	2005.669654	
21	-5.892575	-11.904084	NaN	2005.669654	
22	-5.969160	-11.961241	NaN	2005.669654	
23	-6.051299	-11.995057	NaN	2005.669654	
24	-6.137404	-12.008166	NaN	2005.669654	
25	-6.227020	-12.004466	NaN	2005.669654	
26	-6.321030	-11.988189	NaN	2005.669654	
27	-6.421648	-11.962429	NaN	2005.669654	
28	-6.531891	-11.928197	NaN	2005.669654	
29	-6.653650	-11.884757	NaN	2005.669654	
30	-6.785699	-11.831298	NaN	2005.669654	
31	-6.924132	-11.768033	NaN	2005.669654	
32	-7.064397	-11.695690	NaN	2005.669654	
33	-7.202418	-11.615578	NaN	2005.669654	
34	-7.334600	-11.530269	NaN	2005.669654	
35	-7.457559	-11.442644	NaN	2005.669654	
36	-7.567872	-11.354423	NaN	2005.669654	
37	-7.661832	-11.265736	NaN	2005.669654	
38	-7.735480	-11.175472	NaN	2005.669654	
39	-7.785506	-11.082391	NaN	2005.669654	
40	-7.810476	-10.986521	NaN	2005.669654	
41	-7.810732	-10.889498	NaN	2005.669654	
42	-7.787238	-10.793864	NaN	2005.669654	
43	-7.741342	-10.702138	NaN	2005.669654	
44	-7.675145	-10.616720	NaN	2005.669654	
45	-7.591057	-10.540907	NaN	2005.669654	
46	-7.491096	-10.478552	NaN	2005.669654	
47	-7.376749	-10.431504	NaN	2005.669654	
48	-7.249110	-10.397782	NaN	2005.669654	
49	-7.109007	-10.372343	NaN	2005.669654	
50	-6.957407	-10.349373	NaN	2005.669654	
51	-6.796133	-10.323967	NaN	2005.669654	
52	-6.628047	-10.292459	NaN	2005.669654	
53	-6.457000	-10.252259	NaN	2005.669654	
54	-6.288426	-10.201738	NaN	2005.669654	
55	-6.129134	-10.139896	NaN	2005.669654	
56	-5.985452	-10.065782	NaN	2005.669654	
57	-5.861907	-9.978766	NaN	2005.669654	
58	-5.761831	-9.879950	NaN	2005.669654	
59	-5.688182	-9.773120	NaN	2005.669654	
60	-5.642597	-9.664155	NaN	2005.669654	
61	-5.623502	-9.559427	NaN	2005.669654	
62	-5.626351	-9.464229	NaN	2005.669654	
63	-5.646008	-9.381986	NaN	2005.669654	
64	-5.677927	-9.314206	NaN	2005.669654	
65	-5.717914	-9.260602	NaN	2005.669654	
66	-5.762765	-9.218843	NaN	2005.669654	
67	-5.811520	-9.183913	NaN	2005.669654	
68	-5.864814	-9.148444	NaN	2005.669654	
