LIMS	// User ID
11-12-2017	// Evaluation date
P028__15__[321-18-22-15]	17-11-2017	18:22:11:704	// Source file name and timestamp
2000.000	// Sampling rate
4.241	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-10.246164	-14.016085	NaN	2354.644337	
1	-10.220183	-13.939845	NaN	2354.644337	
2	-10.190061	-13.844233	NaN	2354.644337	
3	-10.156475	-13.731864	NaN	2354.644337	
4	-10.120882	-13.605669	NaN	2354.644337	
5	-10.085323	-13.468266	NaN	2354.644337	
6	-10.051688	-13.321611	NaN	2354.644337	
7	-10.020959	-13.167742	NaN	2354.644337	
8	-9.992998	-13.009810	NaN	2354.644337	
9	-9.966844	-12.852331	NaN	2354.644337	
10	-9.941550	-12.700111	NaN	2354.644337	
11	-9.917014	-12.556065	NaN	2354.644337	
12	-9.893992	-12.420062	NaN	2354.644337	
13	-9.873287	-12.290401	NaN	2354.644337	
14	-9.855221	-12.166331	NaN	2354.644337	
15	-9.839959	-12.049216	NaN	2354.644337	
16	-9.827525	-11.941837	NaN	2354.644337	
17	-9.817526	-11.846924	NaN	2354.644337	
18	-9.809715	-11.766246	NaN	2354.644337	
19	-9.804561	-11.700192	NaN	2354.644337	
20	-9.802704	-11.647285	NaN	2354.644337	
21	-9.804409	-11.604427	NaN	2354.644337	
22	-9.809875	-11.568177	NaN	2354.644337	
23	-9.819236	-11.535727	NaN	2354.644337	
24	-9.831994	-11.505059	NaN	2354.644337	
25	-9.846696	-11.475151	NaN	2354.644337	
26	-9.861145	-11.446501	NaN	2354.644337	
27	-9.873144	-11.420889	NaN	2354.644337	
28	-9.881245	-11.400370	NaN	2354.644337	
29	-9.884664	-11.387106	NaN	2354.644337	
30	-9.882668	-11.383771	NaN	2354.644337	
31	-9.874817	-11.392852	NaN	2354.644337	
32	-9.861814	-11.415376	NaN	2354.644337	
33	-9.844965	-11.450955	NaN	2354.644337	
34	-9.825100	-11.498872	NaN	2354.644337	
35	-9.802912	-11.558585	NaN	2354.644337	
36	-9.779585	-11.629946	NaN	2354.644337	
37	-9.756284	-11.713439	NaN	2354.644337	
38	-9.733654	-11.809600	NaN	2354.644337	
39	-9.712156	-11.918151	NaN	2354.644337	
40	-9.692102	-12.037927	NaN	2354.644337	
41	-9.673398	-12.167592	NaN	2354.644337	
42	-9.656123	-12.306054	NaN	2354.644337	
43	-9.641419	-12.452054	NaN	2354.644337	
44	-9.631547	-12.604011	NaN	2354.644337	
45	-9.629155	-12.760141	NaN	2354.644337	
46	-9.636544	-12.917984	NaN	2354.644337	
47	-9.655208	-13.074474	NaN	2354.644337	
48	-9.685333	-13.226799	NaN	2354.644337	
49	-9.726077	-13.372448	NaN	2354.644337	
50	-9.776663	-13.508708	NaN	2354.644337	
51	-9.836321	-13.633281	NaN	2354.644337	
52	-9.903056	-13.745482	NaN	2354.644337	
53	-9.973518	-13.846126	NaN	2354.644337	
54	-10.044233	-13.936103	NaN	2354.644337	
55	-10.112540	-14.015238	NaN	2354.644337	
56	-10.176698	-14.082228	NaN	2354.644337	
57	-10.235766	-14.135366	NaN	2354.644337	
58	-10.289507	-14.173256	NaN	2354.644337	
59	-10.338343	-14.194985	NaN	2354.644337	
60	-10.383058	-14.200062	NaN	2354.644337	
61	-10.423935	-14.188090	NaN	2354.644337	
62	-10.460171	-14.158194	NaN	2354.644337	
63	-10.490386	-14.109537	NaN	2354.644337	
64	-10.513395	-14.043257	NaN	2354.644337	
65	-10.528711	-13.963116	NaN	2354.644337	
66	-10.537081	-13.873767	NaN	2354.644337	
67	-10.540221	-13.779359	NaN	2354.644337	
68	-10.539753	-13.683799	NaN	2354.644337	
69	-10.536985	-13.590728	NaN	2354.644337	
70	-10.533272	-13.502357	NaN	2354.644337	
71	-10.529218	-13.418804	NaN	2354.644337	
72	-10.523553	-13.338706	NaN	2354.644337	
73	-10.513943	-13.260050	NaN	2354.644337	
74	-10.498888	-13.180675	NaN	2354.644337	
75	-10.478236	-13.098779	NaN	2354.644337	
76	-10.452317	-13.012873	NaN	2354.644337	
77	-10.420816	-12.921762	NaN	2354.644337	
78	-10.382205	-12.825935	NaN	2354.644337	
79	-10.334254	-12.728764	NaN	2354.644337	
80	-10.275105	-12.635338	NaN	2354.644337	
81	-10.204354	-12.550254	NaN	2354.644337	
82	-10.123365	-12.476507	NaN	2354.644337	
83	-10.034220	-12.415413	NaN	2354.644337	
84	-9.939016	-12.366723	NaN	2354.644337	
85	-9.839732	-12.328641	NaN	2354.644337	
86	-9.737232	-12.298052	NaN	2354.644337	
87	-9.630801	-12.271508	NaN	2354.644337	
88	-9.519316	-12.246470	NaN	2354.644337	
89	-9.402418	-12.221482	NaN	2354.644337	
90	-9.280560	-12.195551	NaN	2354.644337	
91	-9.154234	-12.167837	NaN	2354.644337	
92	-9.023501	-12.137625	NaN	2354.644337	
93	-8.888646	-12.104304	NaN	2354.644337	
94	-8.750849	-12.067362	NaN	2354.644337	
95	-8.612040	-12.026096	NaN	2354.644337	
96	-8.475083	-11.979040	NaN	2354.644337	
97	-8.344291	-11.924481	NaN	2354.644337	
98	-8.225150	-11.862360	NaN	2354.644337	
99	-8.123522	-11.794859	NaN	2354.644337	
100	-8.044856	-11.724875	NaN	2354.644337	
101	-7.993370	-11.655082	NaN	2354.644337	
102	-7.971160	-11.588115	NaN	2354.644337	
103	-7.977756	-11.526456	NaN	2354.644337	
104	-8.010403	-11.472607	NaN	2354.644337	
105	-8.064206	-11.429529	NaN	2354.644337	
106	-8.132733	-11.399984	NaN	2354.644337	
107	-8.209677	-11.385021	NaN	2354.644337	
108	-8.289653	-11.383491	NaN	2354.644337	
109	-8.368170	-11.393391	NaN	2354.644337	
110	-8.442797	-11.413169	NaN	2354.644337	
111	-8.514151	-11.441639	NaN	2354.644337	
112	-8.584433	-11.477908	NaN	2354.644337	
113	-8.654906	-11.521596	NaN	2354.644337	
