LIMS	// User ID
11-12-2017	// Evaluation date
P026__2__[321-17-21-39]	17-11-2017	17:21:37:525	// Source file name and timestamp
2000.000	// Sampling rate
2.049	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
0	528.356191	-3.661756	-227.241151	320.393785	NaN	NaN	NaN	NaN	0.000000	
1	528.219728	-3.692356	-227.214383	320.448481	NaN	NaN	NaN	NaN	0.000000	
2	528.105876	-3.729715	-227.189383	320.503532	NaN	NaN	NaN	NaN	0.000000	
3	528.013877	-3.773243	-227.166435	320.558349	NaN	NaN	NaN	NaN	0.000000	
4	527.941587	-3.821866	-227.145619	320.612689	NaN	NaN	NaN	NaN	0.000000	
5	527.885422	-3.874496	-227.126825	320.666613	NaN	NaN	NaN	NaN	0.000000	
6	527.840513	-3.929955	-227.109695	320.720578	NaN	NaN	NaN	NaN	0.000000	
7	527.801653	-3.986323	-227.093480	320.775656	NaN	NaN	NaN	NaN	0.000000	
8	527.764794	-4.040521	-227.077154	320.833236	NaN	NaN	NaN	NaN	0.000000	
9	527.727733	-4.088692	-227.059868	320.894115	NaN	NaN	NaN	NaN	0.000000	
10	527.689451	-4.127647	-227.041186	320.957987	NaN	NaN	NaN	NaN	0.000000	
11	527.649221	-4.156075	-227.021009	321.023547	NaN	NaN	NaN	NaN	0.000000	
12	527.606302	-4.174457	-226.999509	321.088792	NaN	NaN	NaN	NaN	0.000000	
13	527.559933	-4.184790	-226.977147	321.151672	NaN	NaN	NaN	NaN	0.000000	
14	527.509318	-4.189836	-226.954578	321.210734	NaN	NaN	NaN	NaN	0.000000	
15	527.453617	-4.191295	-226.932273	321.265279	NaN	NaN	NaN	NaN	0.000000	
16	527.391933	-4.188771	-226.910287	321.315289	NaN	NaN	NaN	NaN	0.000000	
17	527.323884	-4.180582	-226.888546	321.361372	NaN	NaN	NaN	NaN	0.000000	
18	527.251057	-4.165926	-226.867219	321.404589	NaN	NaN	NaN	NaN	0.000000	
19	527.177422	-4.146799	-226.846663	321.446068	NaN	NaN	NaN	NaN	0.000000	
20	527.107557	-4.127543	-226.827245	321.486704	NaN	NaN	NaN	NaN	0.000000	
21	527.044901	-4.112559	-226.809295	321.527106	NaN	NaN	NaN	NaN	0.000000	
22	526.991396	-4.104302	-226.793131	321.567626	NaN	NaN	NaN	NaN	0.000000	
23	526.947619	-4.102569	-226.779090	321.608347	NaN	NaN	NaN	NaN	0.000000	
24	526.912850	-4.105336	-226.767548	321.649065	NaN	NaN	NaN	NaN	0.000000	
25	526.885342	-4.110335	-226.758885	321.689375	NaN	NaN	NaN	NaN	0.000000	
26	526.863131	-4.116062	-226.753301	321.728996	NaN	NaN	NaN	NaN	0.000000	
27	526.844524	-4.121973	-226.750697	321.767979	NaN	NaN	NaN	NaN	0.000000	
28	526.827456	-4.128460	-226.750808	321.806433	NaN	NaN	NaN	NaN	0.000000	
29	526.808531	-4.136580	-226.753401	321.844147	NaN	NaN	NaN	NaN	0.000000	
30	526.783154	-4.147270	-226.758329	321.880409	NaN	NaN	NaN	NaN	0.000000	
31	526.747330	-4.160827	-226.765464	321.914015	NaN	NaN	NaN	NaN	0.000000	
32	526.699788	-4.177474	-226.774555	321.943637	NaN	NaN	NaN	NaN	0.000000	
33	526.642228	-4.197927	-226.785280	321.968391	NaN	NaN	NaN	NaN	0.000000	
34	526.577705	-4.222856	-226.797499	321.987825	NaN	NaN	NaN	NaN	0.000000	
35	526.508799	-4.252346	-226.811300	322.001552	NaN	NaN	NaN	NaN	0.000000	
36	526.436632	-4.286451	-226.826855	322.009522	NaN	NaN	NaN	NaN	0.000000	
37	526.360965	-4.326012	-226.844278	322.012542	NaN	NaN	NaN	NaN	0.000000	
38	526.281096	-4.372680	-226.863419	322.012146	NaN	NaN	NaN	NaN	0.000000	
39	526.196449	-4.427853	-226.883706	322.010130	NaN	NaN	NaN	NaN	0.000000	
40	526.106020	-4.491041	-226.904243	322.008125	NaN	NaN	NaN	NaN	0.000000	
41	526.007800	-4.559246	-226.924026	322.007174	NaN	NaN	NaN	NaN	0.000000	
42	525.899597	-4.628451	-226.942236	322.007359	NaN	NaN	NaN	NaN	0.000000	
43	525.780430	-4.695618	-226.958531	322.007890	NaN	NaN	NaN	NaN	0.000000	
44	525.651125	-4.759050	-226.973029	322.007573	NaN	NaN	NaN	NaN	0.000000	
45	525.514426	-4.817986	-226.986016	322.005017	NaN	NaN	NaN	NaN	0.000000	
46	525.374352	-4.872806	-226.997886	321.998987	NaN	NaN	NaN	NaN	0.000000	
47	525.234462	-4.924729	-227.009214	321.989340	NaN	NaN	NaN	NaN	0.000000	
48	525.096966	-4.974725	-227.020632	321.977327	NaN	NaN	NaN	NaN	0.000000	
49	524.963212	-5.022967	-227.032649	321.964721	NaN	NaN	NaN	NaN	0.000000	
50	524.834124	-5.068254	-227.045601	321.952985	NaN	NaN	NaN	NaN	0.000000	
51	524.710335	-5.106798	-227.059655	321.943076	NaN	NaN	NaN	NaN	0.000000	
52	524.592297	-5.132569	-227.074815	321.935511	NaN	NaN	NaN	NaN	0.000000	
53	524.480380	-5.140047	-227.090907	321.930389	NaN	NaN	NaN	NaN	0.000000	
54	524.374675	-5.126447	-227.107637	321.927546	NaN	NaN	NaN	NaN	0.000000	
