LIMS	// User ID
11-12-2017	// Evaluation date
P027__4__[321-17-49-50]	17-11-2017	17:49:47:640	// Source file name and timestamp
2000.000	// Sampling rate
3.134	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
0	281.946584	301.697789	-212.577521	276.779465	212.532577	272.934830	7.170638	274.792094	0.000000	
1	281.873795	301.701016	-212.558766	276.848800	212.513015	272.949278	7.198129	274.832795	0.000000	
2	281.802387	301.718183	-212.543522	276.917534	212.506449	272.942932	7.235029	274.862406	0.000000	
3	281.735581	301.751000	-212.531831	276.983126	212.515213	272.912419	7.281914	274.877954	0.000000	
4	281.676359	301.801195	-212.523864	277.042448	212.541384	272.854675	7.339263	274.876341	0.000000	
5	281.626502	301.868617	-212.519607	277.092457	212.585244	272.769512	7.406506	274.856000	0.000000	
6	281.585854	301.949805	-212.518947	277.130672	212.644387	272.661056	7.481294	274.817874	0.000000	
7	281.552628	302.039168	-212.521817	277.154801	212.714473	272.536573	7.560124	274.764627	0.000000	
8	281.524499	302.131173	-212.528257	277.162222	212.790886	272.403804	7.639520	274.699012	0.000000	
9	281.499085	302.221417	-212.538187	277.151381	212.869823	272.269116	7.716903	274.623587	0.000000	
10	281.474135	302.306626	-212.551027	277.123955	212.948430	272.137261	7.790776	274.541632	0.000000	
11	281.448004	302.384435	-212.565952	277.084514	213.024603	272.011707	7.860237	274.457154	0.000000	
12	281.420172	302.453221	-212.582403	277.037848	213.096833	271.894893	7.924401	274.373737	0.000000	
13	281.391801	302.511971	-212.600072	276.986824	213.164079	271.788438	7.982083	274.293616	0.000000	
14	281.365530	302.560191	-212.618999	276.932279	213.225674	271.693293	8.031746	274.217706	0.000000	
15	281.344176	302.597840	-212.639865	276.874188	213.281242	271.609860	8.071787	274.146222	0.000000	
16	281.329746	302.625304	-212.663433	276.812574	213.330644	271.538076	8.101140	274.079151	0.000000	
17	281.323252	302.643387	-212.689381	276.747759	213.373936	271.477456	8.119886	274.016401	0.000000	
18	281.324778	302.653339	-212.716275	276.680419	213.411335	271.427122	8.129233	273.957838	0.000000	
19	281.333486	302.656902	-212.742782	276.611657	213.443211	271.385790	8.130943	273.903317	0.000000	
20	281.347571	302.656392	-212.768629	276.543098	213.470074	271.351742	8.126906	273.852711	0.000000	
21	281.364170	302.654816	-212.794572	276.477011	213.492584	271.322766	8.119241	273.805939	0.000000	
22	281.379495	302.656017	-212.821528	276.416244	213.511570	271.296062	8.110718	273.762888	0.000000	
23	281.389499	302.664031	-212.849735	276.363751	213.527889	271.268701	8.104619	273.723431	0.000000	
24	281.390533	302.680767	-212.878934	276.322128	213.541991	271.239222	8.103354	273.688035	0.000000	
25	281.379731	302.704421	-212.908886	276.293337	213.553606	271.208729	8.107351	273.658214	0.000000	
26	281.355443	302.731053	-212.939375	276.278397	213.562042	271.179807	8.115595	273.635807	0.000000	
27	281.317163	302.756893	-212.970176	276.277460	213.566626	271.154944	8.126713	273.622185	0.000000	
28	281.265226	302.778978	-213.001143	276.290036	213.566816	271.136094	8.139328	273.618140	0.000000	
29	281.201428	302.794986	-213.031948	276.314542	213.562175	271.124796	8.151879	273.623722	0.000000	
30	281.129724	302.803107	-213.061818	276.347768	213.552351	271.122259	8.162421	273.638038	0.000000	
31	281.055600	302.801944	-213.089816	276.385356	213.537054	271.129434	8.168686	273.659514	0.000000	
32	280.984371	302.790437	-213.115320	276.423083	213.516057	271.147060	8.168468	273.686533	0.000000	
33	280.919766	302.767811	-213.137875	276.457939	213.489185	271.175701	8.160207	273.717961	0.000000	
34	280.864154	302.733545	-213.156638	276.487959	213.456327	271.215760	8.143164	273.753076	0.000000	
35	280.819860	302.687360	-213.170382	276.511226	213.417443	271.267483	8.116927	273.791097	0.000000	
36	280.789599	302.629227	-213.178097	276.525546	213.372583	271.330945	8.080966	273.831019	0.000000	
37	280.776065	302.559392	-213.179418	276.528760	213.321915	271.406022	8.034607	273.871743	0.000000	
38	280.781798	302.478428	-213.174720	276.518848	213.265765	271.492342	7.977078	273.912105	0.000000	
39	280.809026	302.387303	-213.164990	276.494049	213.204660	271.589219	7.907678	273.950895	0.000000	
40	280.858909	302.287481	-213.151438	276.453436	213.139396	271.695564	7.826321	273.987083	0.000000	
41	280.931006	302.181052	-213.135012	276.397325	213.071116	271.809764	7.734054	274.019953	0.000000	
42	281.023797	302.070897	-213.115962	276.326872	213.001407	271.929533	7.633184	274.048840	0.000000	
43	281.135426	301.960897	-213.093778	276.243506	212.932431	272.051723	7.527157	274.072759	0.000000	
44	281.263841	301.855638	-213.067848	276.148826	212.866806	272.172473	7.420031	274.090441	0.000000	
45	281.406620	301.758468	-213.038217	276.044724	212.806729	272.288490	7.315026	274.101063	0.000000	
46	281.560773	301.668932	-213.005869	275.933534	212.752792	272.398746	7.212956	274.105205	0.000000	
47	281.722504	301.582811	-212.972524	275.818209	212.704047	272.504370	7.112453	274.104874	0.000000	
48	281.887212	301.495042	-212.939851	275.702309	212.659207	272.606957	7.011999	274.102615	0.000000	
49	282.050028	301.402599	-212.908710	275.589602	212.617366	272.707796	6.911476	274.100905	0.000000	
50	282.206334	301.305516	-212.879395	275.483665	212.578042	272.807979	6.812240	274.102032	0.000000	
51	282.352007	301.206383	-212.852219	275.387708	212.541388	272.907885	6.716674	274.107736	0.000000	
52	282.483696	301.109701	-212.827583	275.304367	212.508539	273.006367	6.628006	274.118695	0.000000	
53	282.598561	301.021326	-212.806013	275.235905	212.481523	273.100763	6.550148	274.134635	0.000000	
54	282.693763	300.946580	-212.788318	275.184598	212.462328	273.188260	6.486667	274.155212	0.000000	
55	282.766829	300.887783	-212.775413	275.152463	212.451676	273.267646	6.439228	274.180795	0.000000	
56	282.816331	300.844404	-212.768041	275.140746	212.449074	273.339205	6.407555	274.212152	0.000000	
57	282.842059	300.815317	-212.766704	275.149797	212.453853	273.403125	6.390736	274.249567	0.000000	
58	282.844983	300.799327	-212.771695	275.179096	212.465408	273.459075	6.387529	274.292629	0.000000	
59	282.827280	300.794571	-212.783115	275.227218	212.482897	273.506536	6.395977	274.340391	0.000000	
60	282.792445	300.798997	-212.800870	275.291744	212.505458	273.544355	6.413648	274.391092	0.000000	
61	282.745473	300.810257	-212.824663	275.369102	212.532158	273.570656	6.437505	274.442042	0.000000	
62	282.692557	300.825317	-212.853929	275.454774	212.561799	273.583363	6.463811	274.489992	0.000000	
63	282.639402	300.841968	-212.887812	275.544531	212.593404	273.580712	6.489554	274.531989	0.000000	
64	282.589533	300.859834	-212.925375	275.635678	212.626210	273.562607	6.513339	274.566684	0.000000	
65	282.544782	300.878937	-212.965941	275.726661	212.659181	273.531598	6.534279	274.594639	0.000000	
66	282.506860	300.898855	-213.009241	275.815841	212.691484	273.491361	6.551276	274.616961	0.000000	
67	282.477754	300.919800	-213.055271	275.901149	212.723188	273.444319	6.563697	274.633902	0.000000	
68	282.458697	300.943181	-213.103931	275.980793	212.755048	273.390955	6.572008	274.644846	0.000000	
69	282.449096	300.970262	-213.154939	276.053984	212.787617	273.330842	6.577302	274.649188	0.000000	
70	282.447090	301.001091	-213.207814	276.120416	212.820728	273.263429	6.580438	274.646496	0.000000	
71	282.450905	301.035883	-213.261252	276.179128	212.853886	273.187534	6.582538	274.635687	0.000000	
72	282.459629	301.076690	-213.312690	276.228246	212.886554	273.101493	6.585633	274.614992	0.000000	
73	282.473744	301.125807	-213.359213	276.265905	212.917778	273.005201	6.591270	274.583446	0.000000	
74	282.494858	301.182778	-213.398780	276.291321	212.946315	272.901400	6.599027	274.542092	0.000000	
75	282.524329	301.244629	-213.430414	276.304834	212.971391	272.794324	6.607414	274.493291	0.000000	
76	282.562170	301.308474	-213.453800	276.307296	212.993030	272.687583	6.615568	274.439330	0.000000	
77	282.606745	301.373019	-213.469111	276.299832	213.011887	272.583242	6.623902	274.381821	0.000000	
78	282.654658	301.438733	-213.476998	276.283894	213.029163	272.481801	6.634167	274.321711	0.000000	
79	282.700851	301.507273	-213.478498	276.261116	213.046387	272.382675	6.649141	274.259469	0.000000	
80	282.739758	301.579846	-213.474772	276.232815	213.064688	272.285394	6.671367	274.195467	0.000000	
81	282.767599	301.656111	-213.466907	276.199591	213.084311	272.190417	6.701747	274.130216	0.000000	
82	282.783601	301.735232	-213.455920	276.161274	213.105150	272.098436	6.739728	274.063991	0.000000	
83	282.788798	301.816909	-213.442757	276.117317	213.127258	272.009693	6.784384	273.996656	0.000000	
84	282.784336	301.900197	-213.428249	276.068092	213.150308	271.924826	6.834376	273.928728	0.000000	
85	282.770954	301.982286	-213.413135	276.015862	213.173037	271.845726	6.887427	273.862292	0.000000	
86	282.749310	302.059430	-213.397993	275.963727	213.193701	271.774908	6.940786	273.800161	0.000000	
87	282.720600	302.128389	-213.383051	275.913897	213.210758	271.714529	6.991956	273.744537	0.000000	
88	282.686340	302.186774	-213.368320	275.867566	213.223048	271.666156	7.038921	273.696821	0.000000	
89	282.647311	302.232891	-213.354064	275.825867	213.229722	271.630883	7.080224	273.658137	0.000000	
90	282.603617	302.265619	-213.340817	275.789955	213.230188	271.609425	7.114870	273.629420	0.000000	
91	282.555865	302.284320	-213.328966	275.760227	213.224078	271.602169	7.142028	273.611066	0.000000	
92	282.505513	302.288795	-213.318665	275.736143	213.211228	271.609216	7.160921	273.602873	0.000000	
93	282.454399	302.279256	-213.310076	275.716654	213.191674	271.630382	7.170874	273.604248	0.000000	
94	282.404569	302.256337	-213.303498	275.700381	213.165666	271.665193	7.171321	273.614281	0.000000	
95	282.358128	302.221131	-213.299243	275.685769	213.133684	271.712843	7.161951	273.631810	0.000000	
96	282.316507	302.175259	-213.297219	275.671676	213.096488	271.772130	7.143233	273.655657	0.000000	
97	282.279991	302.120971	-213.296635	275.657752	213.055172	271.841365	7.116798	273.684773	0.000000	
98	282.248043	302.061289	-213.296370	275.644220	213.011246	271.918248	7.085235	273.718062	0.000000	
99	282.219302	302.000190	-213.295694	275.631893	212.966737	271.999709	7.051858	273.754311	0.000000	
100	282.191248	301.942841	-213.294607	275.622439	212.924320	272.081700	7.020824	273.792207	0.000000	
101	282.160956	301.895338	-213.293496	275.617824	212.887216	272.159327	6.996862	273.830146	0.000000	
102	282.126699	301.862801	-213.292471	275.619114	212.858320	272.228104	6.983872	273.866309	0.000000	
103	282.088748	301.846871	-213.291028	275.625881	212.839043	272.285620	6.983304	273.899240	0.000000	
104	282.048537	301.845802	-213.288368	275.636832	212.829393	272.331385	6.994393	273.928072	0.000000	
105	282.007320	301.857189	-213.283929	275.650822	212.829312	272.364832	7.016061	273.951969	0.000000	
106	281.965970	301.879521	-213.277470	275.667005	212.839476	272.384107	7.047910	273.969570	0.000000	
107	281.925335	301.911267	-213.268953	275.684570	212.860691	272.386978	7.089518	273.979332	0.000000	
108	281.886019	301.949937	-213.258657	275.702904	212.892828	272.372637	7.139578	273.980547	0.000000	
109	281.848436	301.991948	-213.247197	275.721556	212.934335	272.342548	7.195572	273.973761	0.000000	
110	281.813146	302.032694	-213.235450	275.739977	212.982510	272.299884	7.253847	273.960363	0.000000	
111	281.780326	302.067970	-213.224571	275.757926	213.034135	272.248541	7.310631	273.942262	0.000000	
112	281.749227	302.095698	-213.215508	275.775874	213.085974	272.192453	7.363345	273.921724	0.000000	
113	281.718733	302.115521	-213.208307	275.794583	213.135153	272.135116	7.410774	273.900926	0.000000	
114	281.687901	302.127086	-213.202413	275.814702	213.179602	272.079624	7.452347	273.881781	0.000000	
115	281.655645	302.129181	-213.197538	275.837005	213.218227	272.028988	7.487619	273.866222	0.000000	
116	281.620698	302.120219	-213.193912	275.862411	213.250625	271.985939	7.516190	273.856109	0.000000	
117	281.582152	302.099005	-213.192068	275.891590	213.276726	271.952514	7.537686	273.852821	0.000000	
118	281.540004	302.064955	-213.192645	275.924538	213.296668	271.929995	7.551667	273.857024	0.000000	
119	281.495763	302.018084	-213.196190	275.960128	213.310783	271.918993	7.557473	273.868497	0.000000	
120	281.452256	301.959028	-213.203040	275.996245	213.319608	271.919495	7.554370	273.886222	0.000000	
121	281.412649	301.889101	-213.213012	276.030529	213.323896	271.930868	7.542101	273.908740	0.000000	
122	281.380342	301.810404	-213.224985	276.060452	213.324653	271.951823	7.521176	273.934171	0.000000	
123	281.359451	301.725404	-213.237240	276.082955	213.322925	271.980732	7.492276	273.960202	0.000000	
124	281.354166	301.635439	-213.248232	276.094930	213.319050	272.016690	7.455205	273.984872	0.000000	
125	281.367248	301.539708	-213.256673	276.094362	213.312157	272.060227	7.408802	274.007490	0.000000	
126	281.399303	301.436412	-213.261283	276.080878	213.300645	272.112539	7.351994	274.028495	0.000000	
127	281.449378	301.324401	-213.261017	276.055290	213.282900	272.174363	7.284407	274.048648	0.000000	
128	281.515762	301.203740	-213.255444	276.018993	213.257486	272.245590	7.206183	274.068547	0.000000	
129	281.596158	301.075782	-213.244875	275.973829	213.223087	272.325218	7.117848	274.088534	0.000000	
130	281.687522	300.943031	-213.230375	275.922193	213.178559	272.411448	7.020342	274.108807	0.000000	
131	281.786157	300.808227	-213.213711	275.866967	213.123313	272.502316	6.914886	274.129713	0.000000	
132	281.888619	300.673166	-213.196987	275.810818	213.057836	272.596510	6.802660	274.151842	0.000000	
133	281.992931	300.538874	-213.181929	275.755280	212.983751	272.693256	6.684785	274.175526	0.000000	
134	282.098414	300.407141	-213.169205	275.700872	212.903425	272.791241	6.563053	274.200331	0.000000	
135	282.204440	300.281813	-213.158401	275.648024	212.819719	272.887711	6.440742	274.225035	0.000000	
136	282.310048	300.169342	-213.148652	275.597352	212.736086	272.978067	6.322704	274.247555	0.000000	
