LIMS	// User ID
11-12-2017	// Evaluation date
P028__10__[321-18-17-52]	17-11-2017	18:17:48:917	// Source file name and timestamp
2000.000	// Sampling rate
3.702	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-11.272741	-4.327348	NaN	3118.750869	
1	-11.254076	-4.298538	NaN	3118.750869	
2	-11.225632	-4.271168	NaN	3118.750869	
3	-11.184633	-4.245926	NaN	3118.750869	
4	-11.129720	-4.224267	NaN	3118.750869	
5	-11.060613	-4.208222	NaN	3118.750869	
6	-10.978140	-4.199679	NaN	3118.750869	
7	-10.884600	-4.199641	NaN	3118.750869	
8	-10.783071	-4.208004	NaN	3118.750869	
9	-10.675889	-4.223554	NaN	3118.750869	
10	-10.563963	-4.244178	NaN	3118.750869	
11	-10.447462	-4.267591	NaN	3118.750869	
12	-10.326762	-4.292045	NaN	3118.750869	
13	-10.202822	-4.316510	NaN	3118.750869	
14	-10.077307	-4.340328	NaN	3118.750869	
15	-9.952749	-4.362323	NaN	3118.750869	
16	-9.832463	-4.380449	NaN	3118.750869	
17	-9.719924	-4.393074	NaN	3118.750869	
18	-9.618153	-4.400007	NaN	3118.750869	
19	-9.529643	-4.401359	NaN	3118.750869	
20	-9.456554	-4.396148	NaN	3118.750869	
21	-9.400582	-4.382806	NaN	3118.750869	
22	-9.362515	-4.360784	NaN	3118.750869	
23	-9.342306	-4.331375	NaN	3118.750869	
24	-9.339671	-4.296949	NaN	3118.750869	
25	-9.354378	-4.259690	NaN	3118.750869	
26	-9.386232	-4.221451	NaN	3118.750869	
27	-9.435061	-4.184146	NaN	3118.750869	
28	-9.500397	-4.149309	NaN	3118.750869	
29	-9.580558	-4.117358	NaN	3118.750869	
30	-9.671948	-4.087355	NaN	3118.750869	
31	-9.769690	-4.057257	NaN	3118.750869	
32	-9.869058	-4.024957	NaN	3118.750869	
33	-9.966333	-3.989592	NaN	3118.750869	
34	-10.058845	-3.951524	NaN	3118.750869	
35	-10.144778	-3.911256	NaN	3118.750869	
36	-10.223025	-3.869204	NaN	3118.750869	
37	-10.293074	-3.826024	NaN	3118.750869	
38	-10.354652	-3.782109	NaN	3118.750869	
39	-10.406795	-3.737075	NaN	3118.750869	
40	-10.447195	-3.690331	NaN	3118.750869	
41	-10.472909	-3.641637	NaN	3118.750869	
42	-10.481921	-3.590839	NaN	3118.750869	
43	-10.473889	-3.537894	NaN	3118.750869	
44	-10.449546	-3.483457	NaN	3118.750869	
45	-10.410167	-3.429229	NaN	3118.750869	
46	-10.358220	-3.377792	NaN	3118.750869	
47	-10.298095	-3.331937	NaN	3118.750869	
48	-10.235485	-3.293992	NaN	3118.750869	
49	-10.175696	-3.265686	NaN	3118.750869	
50	-10.122213	-3.248265	NaN	3118.750869	
51	-10.076627	-3.242563	NaN	3118.750869	
52	-10.039325	-3.249063	NaN	3118.750869	
53	-10.009824	-3.267918	NaN	3118.750869	
54	-9.986769	-3.298958	NaN	3118.750869	
55	-9.968175	-3.341668	NaN	3118.750869	
56	-9.952205	-3.395146	NaN	3118.750869	
57	-9.937956	-3.458028	NaN	3118.750869	
58	-9.925425	-3.528667	NaN	3118.750869	
59	-9.914648	-3.605855	NaN	3118.750869	
60	-9.905139	-3.689272	NaN	3118.750869	
61	-9.896447	-3.778870	NaN	3118.750869	
62	-9.889002	-3.873971	NaN	3118.750869	
63	-9.884143	-3.972907	NaN	3118.750869	
64	-9.883328	-4.073148	NaN	3118.750869	
65	-9.887340	-4.171961	NaN	3118.750869	
66	-9.896039	-4.267049	NaN	3118.750869	
67	-9.908645	-4.356651	NaN	3118.750869	
68	-9.924266	-4.439401	NaN	3118.750869	
69	-9.941844	-4.514479	NaN	3118.750869	
70	-9.959813	-4.582361	NaN	3118.750869	
71	-9.976575	-4.645354	NaN	3118.750869	
72	-9.991284	-4.706830	NaN	3118.750869	
73	-10.003788	-4.769677	NaN	3118.750869	
74	-10.013748	-4.835285	NaN	3118.750869	
75	-10.020038	-4.903297	NaN	3118.750869	
76	-10.021259	-4.971549	NaN	3118.750869	
77	-10.016527	-5.036203	NaN	3118.750869	
78	-10.005725	-5.092628	NaN	3118.750869	
79	-9.989489	-5.136529	NaN	3118.750869	
80	-9.968966	-5.164261	NaN	3118.750869	
81	-9.945014	-5.173175	NaN	3118.750869	
82	-9.917681	-5.162589	NaN	3118.750869	
83	-9.886797	-5.134027	NaN	3118.750869	
84	-9.852564	-5.090468	NaN	3118.750869	
85	-9.815002	-5.035386	NaN	3118.750869	
86	-9.773401	-4.972114	NaN	3118.750869	
87	-9.726882	-4.903486	NaN	3118.750869	
88	-9.675243	-4.831457	NaN	3118.750869	
89	-9.619560	-4.757521	NaN	3118.750869	
90	-9.562840	-4.683953	NaN	3118.750869	
91	-9.509640	-4.613967	NaN	3118.750869	
92	-9.464015	-4.550522	NaN	3118.750869	
93	-9.427735	-4.495394	NaN	3118.750869	
94	-9.400121	-4.449027	NaN	3118.750869	
95	-9.379179	-4.410584	NaN	3118.750869	
96	-9.363250	-4.378220	NaN	3118.750869	
97	-9.352094	-4.349849	NaN	3118.750869	
98	-9.347179	-4.323903	NaN	3118.750869	
99	-9.351465	-4.299546	NaN	3118.750869	
100	-9.368411	-4.276653	NaN	3118.750869	
101	-9.400407	-4.255817	NaN	3118.750869	
102	-9.447735	-4.238114	NaN	3118.750869	
103	-9.508272	-4.224329	NaN	3118.750869	
104	-9.577932	-4.214447	NaN	3118.750869	
105	-9.652441	-4.208222	NaN	3118.750869	
106	-9.729104	-4.205728	NaN	3118.750869	
107	-9.806330	-4.206807	NaN	3118.750869	
108	-9.882355	-4.210507	NaN	3118.750869	
109	-9.955393	-4.215589	NaN	3118.750869	
110	-10.024367	-4.221304	NaN	3118.750869	
111	-10.089094	-4.227631	NaN	3118.750869	
112	-10.149948	-4.235276	NaN	3118.750869	
113	-10.206975	-4.245699	NaN	3118.750869	
114	-10.259276	-4.260903	NaN	3118.750869	
115	-10.305506	-4.282693	NaN	3118.750869	
116	-10.344641	-4.311909	NaN	3118.750869	
117	-10.376182	-4.348181	NaN	3118.750869	
118	-10.400112	-4.390171	NaN	3118.750869	
119	-10.416868	-4.436321	NaN	3118.750869	
120	-10.427068	-4.485589	NaN	3118.750869	
121	-10.430658	-4.537651	NaN	3118.750869	
122	-10.426623	-4.592571	NaN	3118.750869	
123	-10.414369	-4.650212	NaN	3118.750869	
124	-10.395139	-4.710200	NaN	3118.750869	
125	-10.371798	-4.772142	NaN	3118.750869	
126	-10.347831	-4.835018	NaN	3118.750869	
127	-10.326376	-4.896523	NaN	3118.750869	
128	-10.309538	-4.953761	NaN	3118.750869	
129	-10.298211	-5.004733	NaN	3118.750869	
130	-10.292426	-5.049049	NaN	3118.750869	
131	-10.292222	-5.087030	NaN	3118.750869	
