LIMS	// User ID
11-12-2017	// Evaluation date
P022__28__[321-16-6-24]	17-11-2017	16:06:20:118	// Source file name and timestamp
2000.000	// Sampling rate
4.427	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-7.463458	-1.370897	NaN	1373.655858	
1	-7.341821	-1.345838	NaN	1373.655858	
2	-7.214119	-1.306403	NaN	1373.655858	
3	-7.084608	-1.254931	NaN	1373.655858	
4	-6.958529	-1.196223	NaN	1373.655858	
5	-6.841004	-1.136699	NaN	1373.655858	
6	-6.736220	-1.082512	NaN	1373.655858	
7	-6.647421	-1.038220	NaN	1373.655858	
8	-6.576846	-1.006201	NaN	1373.655858	
9	-6.525033	-0.987082	NaN	1373.655858	
10	-6.490311	-0.980909	NaN	1373.655858	
11	-6.469614	-0.987441	NaN	1373.655858	
12	-6.460081	-1.005581	NaN	1373.655858	
13	-6.459790	-1.033038	NaN	1373.655858	
14	-6.467092	-1.066763	NaN	1373.655858	
15	-6.479663	-1.104456	NaN	1373.655858	
16	-6.494385	-1.145551	NaN	1373.655858	
17	-6.508047	-1.190043	NaN	1373.655858	
18	-6.518039	-1.237068	NaN	1373.655858	
19	-6.522795	-1.284827	NaN	1373.655858	
20	-6.522277	-1.330749	NaN	1373.655858	
21	-6.517691	-1.372174	NaN	1373.655858	
22	-6.510389	-1.407868	NaN	1373.655858	
23	-6.501363	-1.437937	NaN	1373.655858	
24	-6.490722	-1.462411	NaN	1373.655858	
25	-6.476842	-1.481507	NaN	1373.655858	
26	-6.456863	-1.496742	NaN	1373.655858	
27	-6.428000	-1.510440	NaN	1373.655858	
28	-6.388280	-1.524158	NaN	1373.655858	
29	-6.337327	-1.537914	NaN	1373.655858	
30	-6.276945	-1.550744	NaN	1373.655858	
31	-6.210662	-1.561481	NaN	1373.655858	
32	-6.143079	-1.568967	NaN	1373.655858	
33	-6.079563	-1.571993	NaN	1373.655858	
34	-6.025407	-1.569512	NaN	1373.655858	
35	-5.984399	-1.561424	NaN	1373.655858	
36	-5.958182	-1.548849	NaN	1373.655858	
37	-5.946936	-1.532797	NaN	1373.655858	
38	-5.950561	-1.512819	NaN	1373.655858	
39	-5.969828	-1.487280	NaN	1373.655858	
40	-6.006704	-1.454127	NaN	1373.655858	
41	-6.062998	-1.411081	NaN	1373.655858	
42	-6.138699	-1.355828	NaN	1373.655858	
43	-6.231648	-1.287043	NaN	1373.655858	
44	-6.338543	-1.205764	NaN	1373.655858	
45	-6.456153	-1.115202	NaN	1373.655858	
46	-6.581379	-1.018714	NaN	1373.655858	
47	-6.710742	-0.918352	NaN	1373.655858	
