LIMS	// User ID
11-12-2017	// Evaluation date
P022__4__[321-15-50-37]	17-11-2017	15:50:29:898	// Source file name and timestamp
2000.000	// Sampling rate
7.807	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
0	407.234518	20.752513	-151.576427	236.917019	NaN	NaN	NaN	NaN	0.000000	
1	407.046759	20.812968	-151.542341	236.936438	NaN	NaN	NaN	NaN	0.000000	
2	406.840452	20.871895	-151.511332	236.963107	NaN	NaN	NaN	NaN	0.000000	
3	406.619804	20.928813	-151.483507	236.995225	NaN	NaN	NaN	NaN	0.000000	
4	406.390272	20.982910	-151.458912	237.030359	NaN	NaN	NaN	NaN	0.000000	
5	406.157532	21.033534	-151.437732	237.065916	NaN	NaN	NaN	NaN	0.000000	
6	405.926468	21.080680	-151.420307	237.099602	NaN	NaN	NaN	NaN	0.000000	
7	405.700401	21.124402	-151.406763	237.129786	NaN	NaN	NaN	NaN	0.000000	
8	405.480824	21.164227	-151.396742	237.155641	NaN	NaN	NaN	NaN	0.000000	
9	405.268196	21.199663	-151.389674	237.176847	NaN	NaN	NaN	NaN	0.000000	
10	405.062673	21.230987	-151.385048	237.193310	NaN	NaN	NaN	NaN	0.000000	
11	404.863675	21.259242	-151.382102	237.205393	NaN	NaN	NaN	NaN	0.000000	
12	404.669408	21.285704	-151.379492	237.214174	NaN	NaN	NaN	NaN	0.000000	
13	404.477472	21.312213	-151.375520	237.221244	NaN	NaN	NaN	NaN	0.000000	
14	404.285443	21.342084	-151.368520	237.228195	NaN	NaN	NaN	NaN	0.000000	
15	404.090291	21.379416	-151.357029	237.235905	NaN	NaN	NaN	NaN	0.000000	
16	403.887772	21.427326	-151.339796	237.244140	NaN	NaN	NaN	NaN	0.000000	
17	403.672918	21.487512	-151.315647	237.251971	NaN	NaN	NaN	NaN	0.000000	
18	403.441065	21.560595	-151.283301	237.258260	NaN	NaN	NaN	NaN	0.000000	
19	403.189196	21.645830	-151.241501	237.261669	NaN	NaN	NaN	NaN	0.000000	
20	402.917375	21.741023	-151.189891	237.260999	NaN	NaN	NaN	NaN	0.000000	
21	402.628623	21.842931	-151.129605	237.255944	NaN	NaN	NaN	NaN	0.000000	
22	402.326926	21.947876	-151.062379	237.247387	NaN	NaN	NaN	NaN	0.000000	
23	402.015885	22.052902	-150.989432	237.237158	NaN	NaN	NaN	NaN	0.000000	
24	401.699374	22.156115	-150.911537	237.227667	NaN	NaN	NaN	NaN	0.000000	
25	401.382498	22.255694	-150.829582	237.221435	NaN	NaN	NaN	NaN	0.000000	
26	401.071186	22.349446	-150.744766	237.220563	NaN	NaN	NaN	NaN	0.000000	
27	400.770947	22.435202	-150.658385	237.226544	NaN	NaN	NaN	NaN	0.000000	
28	400.485900	22.511205	-150.571571	237.240268	NaN	NaN	NaN	NaN	0.000000	
29	400.218303	22.576813	-150.485327	237.261731	NaN	NaN	NaN	NaN	0.000000	
30	399.968836	22.632694	-150.400623	237.290033	NaN	NaN	NaN	NaN	0.000000	
31	399.736812	22.679705	-150.318318	237.323656	NaN	NaN	NaN	NaN	0.000000	
32	399.519420	22.718057	-150.238985	237.360400	NaN	NaN	NaN	NaN	0.000000	
33	399.312317	22.747576	-150.163108	237.397355	NaN	NaN	NaN	NaN	0.000000	
34	399.112136	22.768514	-150.091563	237.431335	NaN	NaN	NaN	NaN	0.000000	
35	398.917597	22.782937	-150.025579	237.459596	NaN	NaN	NaN	NaN	0.000000	
36	398.728423	22.795098	-149.966063	237.480528	NaN	NaN	NaN	NaN	0.000000	
37	398.544573	22.809398	-149.913239	237.493937	NaN	NaN	NaN	NaN	0.000000	
