LIMS	// User ID
11-12-2017	// Evaluation date
P030__18__[321-19-21-47]	17-11-2017	19:21:43:737	// Source file name and timestamp
2000.000	// Sampling rate
3.585	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-5.068073	-13.249658	NaN	1693.681231	
1	-5.020927	-13.357489	NaN	1693.681231	
2	-4.965833	-13.459947	NaN	1693.681231	
3	-4.906802	-13.552146	NaN	1693.681231	
4	-4.846369	-13.628957	NaN	1693.681231	
5	-4.784896	-13.685811	NaN	1693.681231	
6	-4.721199	-13.718708	NaN	1693.681231	
7	-4.653686	-13.724256	NaN	1693.681231	
8	-4.581464	-13.700326	NaN	1693.681231	
9	-4.504918	-13.646781	NaN	1693.681231	
10	-4.424909	-13.565759	NaN	1693.681231	
11	-4.341423	-13.461539	NaN	1693.681231	
12	-4.253905	-13.339684	NaN	1693.681231	
13	-4.162732	-13.205423	NaN	1693.681231	
14	-4.068700	-13.062308	NaN	1693.681231	
15	-3.971690	-12.912479	NaN	1693.681231	
16	-3.871574	-12.757977	NaN	1693.681231	
17	-3.769432	-12.601214	NaN	1693.681231	
18	-3.666218	-12.444637	NaN	1693.681231	
19	-3.560861	-12.290664	NaN	1693.681231	
20	-3.450557	-12.141899	NaN	1693.681231	
21	-3.332430	-12.001086	NaN	1693.681231	
22	-3.204895	-11.870489	NaN	1693.681231	
23	-3.068230	-11.751261	NaN	1693.681231	
24	-2.924095	-11.643579	NaN	1693.681231	
25	-2.774829	-11.547566	NaN	1693.681231	
26	-2.623375	-11.463925	NaN	1693.681231	
27	-2.473514	-11.393474	NaN	1693.681231	
28	-2.330151	-11.336399	NaN	1693.681231	
29	-2.199073	-11.292027	NaN	1693.681231	
30	-2.085600	-11.258829	NaN	1693.681231	
31	-1.993776	-11.234370	NaN	1693.681231	
32	-1.927222	-11.215768	NaN	1693.681231	
33	-1.888789	-11.201247	NaN	1693.681231	
34	-1.877867	-11.191174	NaN	1693.681231	
35	-1.888933	-11.186971	NaN	1693.681231	
36	-1.914165	-11.189512	NaN	1693.681231	
37	-1.947947	-11.198610	NaN	1693.681231	
38	-1.988303	-11.213287	NaN	1693.681231	
39	-2.034473	-11.232556	NaN	1693.681231	
40	-2.085116	-11.256206	NaN	1693.681231	
41	-2.138794	-11.284776	NaN	1693.681231	
42	-2.194736	-11.318449	NaN	1693.681231	
43	-2.253335	-11.355927	NaN	1693.681231	
44	-2.315855	-11.395179	NaN	1693.681231	
45	-2.383294	-11.435560	NaN	1693.681231	
46	-2.455827	-11.478871	NaN	1693.681231	
47	-2.533055	-11.528586	NaN	1693.681231	
48	-2.614521	-11.588317	NaN	1693.681231	
49	-2.699923	-11.660846	NaN	1693.681231	
50	-2.789341	-11.747667	NaN	1693.681231	
51	-2.883762	-11.848176	NaN	1693.681231	
52	-2.985363	-11.959306	NaN	1693.681231	
53	-3.096983	-12.076714	NaN	1693.681231	
54	-3.220472	-12.196168	NaN	1693.681231	
55	-3.355275	-12.314388	NaN	1693.681231	
56	-3.498612	-12.429924	NaN	1693.681231	
57	-3.646410	-12.542731	NaN	1693.681231	
58	-3.794454	-12.652697	NaN	1693.681231	
59	-3.939524	-12.759846	NaN	1693.681231	
60	-4.079435	-12.865112	NaN	1693.681231	
61	-4.212542	-12.968915	NaN	1693.681231	
62	-4.337867	-13.069166	NaN	1693.681231	
63	-4.454965	-13.161652	NaN	1693.681231	
64	-4.563245	-13.242004	NaN	1693.681231	
65	-4.661581	-13.306818	NaN	1693.681231	
66	-4.748191	-13.353721	NaN	1693.681231	
67	-4.820483	-13.381205	NaN	1693.681231	
68	-4.875161	-13.388527	NaN	1693.681231	
69	-4.909174	-13.375936	NaN	1693.681231	
70	-4.921251	-13.345515	NaN	1693.681231	
71	-4.912688	-13.301298	NaN	1693.681231	
72	-4.886541	-13.246967	NaN	1693.681231	
73	-4.845757	-13.183272	NaN	1693.681231	
74	-4.791620	-13.108655	NaN	1693.681231	
75	-4.723827	-13.022293	NaN	1693.681231	
76	-4.641960	-12.926061	NaN	1693.681231	
77	-4.546941	-12.824121	NaN	1693.681231	
78	-4.442284	-12.721227	NaN	1693.681231	
79	-4.334908	-12.621351	NaN	1693.681231	
80	-4.234103	-12.527663	NaN	1693.681231	
81	-4.148601	-12.443033	NaN	1693.681231	
82	-4.084192	-12.369668	NaN	1693.681231	
83	-4.042623	-12.308441	NaN	1693.681231	
84	-4.020861	-12.258979	NaN	1693.681231	
85	-4.012410	-12.220517	NaN	1693.681231	
86	-4.010744	-12.192456	NaN	1693.681231	
87	-4.011590	-12.173795	NaN	1693.681231	
88	-4.012996	-12.162538	NaN	1693.681231	
89	-4.014372	-12.156447	NaN	1693.681231	
90	-4.015595	-12.154338	NaN	1693.681231	
91	-4.017002	-12.156298	NaN	1693.681231	
92	-4.019980	-12.163143	NaN	1693.681231	
93	-4.026173	-12.175605	NaN	1693.681231	
94	-4.034677	-12.192978	NaN	1693.681231	
95	-4.040840	-12.212784	NaN	1693.681231	
96	-4.038615	-12.232606	NaN	1693.681231	
97	-4.023142	-12.251908	NaN	1693.681231	
98	-3.991372	-12.271998	NaN	1693.681231	
99	-3.941920	-12.294123	NaN	1693.681231	
100	-3.875021	-12.317280	NaN	1693.681231	
101	-3.792570	-12.337873	NaN	1693.681231	
102	-3.698258	-12.351476	NaN	1693.681231	
103	-3.597519	-12.355400	NaN	1693.681231	
104	-3.496996	-12.349947	NaN	1693.681231	
105	-3.403490	-12.337305	NaN	1693.681231	
106	-3.322348	-12.319980	NaN	1693.681231	
107	-3.256632	-12.300093	NaN	1693.681231	
108	-3.208475	-12.278931	NaN	1693.681231	
109	-3.180382	-12.257312	NaN	1693.681231	
110	-3.174232	-12.236749	NaN	1693.681231	
111	-3.190234	-12.219544	NaN	1693.681231	
112	-3.227521	-12.207517	NaN	1693.681231	
113	-3.284384	-12.200985	NaN	1693.681231	
114	-3.357873	-12.198788	NaN	1693.681231	
115	-3.443618	-12.199076	NaN	1693.681231	
116	-3.535851	-12.200051	NaN	1693.681231	
117	-3.628796	-12.200165	NaN	1693.681231	
118	-3.718631	-12.198037	NaN	1693.681231	
119	-3.803527	-12.192664	NaN	1693.681231	
120	-3.881771	-12.184214	NaN	1693.681231	
121	-3.950474	-12.174598	NaN	1693.681231	
122	-4.006247	-12.167005	NaN	1693.681231	
123	-4.046135	-12.165234	NaN	1693.681231	
124	-4.068309	-12.173048	NaN	1693.681231	
125	-4.073097	-12.192680	NaN	1693.681231	
126	-4.062988	-12.223266	NaN	1693.681231	
127	-4.041311	-12.260506	NaN	1693.681231	
128	-4.011547	-12.297830	NaN	1693.681231	
129	-3.977796	-12.328850	NaN	1693.681231	
130	-3.944432	-12.349528	NaN	1693.681231	
131	-3.914317	-12.358241	NaN	1693.681231	
132	-3.888105	-12.354566	NaN	1693.681231	
133	-3.865441	-12.338975	NaN	1693.681231	
134	-3.846119	-12.313138	NaN	1693.681231	
135	-3.830369	-12.279181	NaN	1693.681231	
136	-3.818882	-12.238405	NaN	1693.681231	
137	-3.812856	-12.191373	NaN	1693.681231	
138	-3.814061	-12.139084	NaN	1693.681231	
