LIMS	// User ID
11-12-2017	// Evaluation date
P027__30__[321-18-6-13]	17-11-2017	18:06:09:602	// Source file name and timestamp
2000.000	// Sampling rate
4.271	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-8.496903	-7.710833	NaN	2062.398420	
1	-8.458562	-7.722907	NaN	2062.398420	
2	-8.416206	-7.753806	NaN	2062.398420	
3	-8.371555	-7.800981	NaN	2062.398420	
4	-8.325961	-7.860353	NaN	2062.398420	
5	-8.280797	-7.926360	NaN	2062.398420	
6	-8.236971	-7.993044	NaN	2062.398420	
7	-8.195295	-8.054829	NaN	2062.398420	
8	-8.157124	-8.106762	NaN	2062.398420	
9	-8.124162	-8.145629	NaN	2062.398420	
10	-8.097995	-8.171997	NaN	2062.398420	
11	-8.079614	-8.190780	NaN	2062.398420	
12	-8.069481	-8.209226	NaN	2062.398420	
13	-8.067851	-8.234197	NaN	2062.398420	
14	-8.074501	-8.270530	NaN	2062.398420	
15	-8.088726	-8.320995	NaN	2062.398420	
16	-8.109866	-8.386680	NaN	2062.398420	
17	-8.137565	-8.466741	NaN	2062.398420	
18	-8.171729	-8.558596	NaN	2062.398420	
19	-8.212510	-8.659145	NaN	2062.398420	
20	-8.260006	-8.765678	NaN	2062.398420	
21	-8.313368	-8.875959	NaN	2062.398420	
22	-8.370159	-8.987764	NaN	2062.398420	
23	-8.427060	-9.097589	NaN	2062.398420	
24	-8.481113	-9.199560	NaN	2062.398420	
25	-8.529824	-9.287033	NaN	2062.398420	
26	-8.570719	-9.355838	NaN	2062.398420	
27	-8.601768	-9.405413	NaN	2062.398420	
28	-8.621830	-9.437336	NaN	2062.398420	
29	-8.630294	-9.453413	NaN	2062.398420	
30	-8.627032	-9.454909	NaN	2062.398420	
31	-8.612680	-9.443163	NaN	2062.398420	
32	-8.588378	-9.420490	NaN	2062.398420	
33	-8.555551	-9.390307	NaN	2062.398420	
34	-8.515419	-9.355916	NaN	2062.398420	
35	-8.468213	-9.318728	NaN	2062.398420	
36	-8.413783	-9.278079	NaN	2062.398420	
37	-8.352782	-9.232337	NaN	2062.398420	
38	-8.286726	-9.179963	NaN	2062.398420	
39	-8.217819	-9.120586	NaN	2062.398420	
40	-8.148821	-9.055012	NaN	2062.398420	
41	-8.082646	-8.984466	NaN	2062.398420	
42	-8.021976	-8.910413	NaN	2062.398420	
43	-7.968572	-8.833834	NaN	2062.398420	
44	-7.922822	-8.754483	NaN	2062.398420	
45	-7.884368	-8.672041	NaN	2062.398420	
46	-7.852697	-8.587550	NaN	2062.398420	
47	-7.826850	-8.502953	NaN	2062.398420	
