LIMS	// User ID
11-12-2017	// Evaluation date
P024__23__[321-16-49-30]	17-11-2017	16:49:27:357	// Source file name and timestamp
2000.000	// Sampling rate
3.584	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-9.514105	-2.938695	NaN	2695.463867	
1	-9.452243	-2.891336	NaN	2695.463867	
2	-9.393949	-2.845883	NaN	2695.463867	
3	-9.341096	-2.806387	NaN	2695.463867	
4	-9.294392	-2.774827	NaN	2695.463867	
5	-9.253164	-2.750678	NaN	2695.463867	
6	-9.215927	-2.732857	NaN	2695.463867	
7	-9.180909	-2.721366	NaN	2695.463867	
8	-9.146570	-2.717022	NaN	2695.463867	
9	-9.111541	-2.720668	NaN	2695.463867	
10	-9.074289	-2.732654	NaN	2695.463867	
11	-9.033356	-2.752016	NaN	2695.463867	
12	-8.987303	-2.775862	NaN	2695.463867	
13	-8.934666	-2.800052	NaN	2695.463867	
14	-8.875067	-2.820936	NaN	2695.463867	
15	-8.809802	-2.836837	NaN	2695.463867	
16	-8.740788	-2.847952	NaN	2695.463867	
17	-8.669553	-2.854957	NaN	2695.463867	
18	-8.597056	-2.857909	NaN	2695.463867	
19	-8.523790	-2.855971	NaN	2695.463867	
20	-8.450132	-2.847644	NaN	2695.463867	
21	-8.376986	-2.831813	NaN	2695.463867	
22	-8.305590	-2.809096	NaN	2695.463867	
23	-8.236463	-2.781887	NaN	2695.463867	
24	-8.169769	-2.753365	NaN	2695.463867	
25	-8.107382	-2.727117	NaN	2695.463867	
26	-8.053601	-2.706767	NaN	2695.463867	
27	-8.013385	-2.695061	NaN	2695.463867	
28	-7.990323	-2.693453	NaN	2695.463867	
29	-7.985401	-2.701906	NaN	2695.463867	
30	-7.996488	-2.718611	NaN	2695.463867	
31	-8.019096	-2.740453	NaN	2695.463867	
32	-8.048168	-2.763962	NaN	2695.463867	
33	-8.079543	-2.786527	NaN	2695.463867	
34	-8.110016	-2.807647	NaN	2695.463867	
35	-8.136876	-2.828897	NaN	2695.463867	
36	-8.158032	-2.852590	NaN	2695.463867	
37	-8.171899	-2.880764	NaN	2695.463867	
38	-8.177014	-2.914983	NaN	2695.463867	
39	-8.172532	-2.956125	NaN	2695.463867	
40	-8.159047	-3.003842	NaN	2695.463867	
41	-8.138622	-3.056793	NaN	2695.463867	
42	-8.113746	-3.113674	NaN	2695.463867	
43	-8.086035	-3.173392	NaN	2695.463867	
44	-8.056322	-3.234424	NaN	2695.463867	
45	-8.025871	-3.294416	NaN	2695.463867	
46	-7.996750	-3.350033	NaN	2695.463867	
47	-7.971369	-3.397033	NaN	2695.463867	
48	-7.952051	-3.431141	NaN	2695.463867	
49	-7.940578	-3.449483	NaN	2695.463867	
50	-7.938299	-3.451266	NaN	2695.463867	
51	-7.946489	-3.437162	NaN	2695.463867	
52	-7.965837	-3.408503	NaN	2695.463867	
53	-7.995900	-3.366796	NaN	2695.463867	
54	-8.035648	-3.313261	NaN	2695.463867	
55	-8.084252	-3.248910	NaN	2695.463867	
56	-8.141602	-3.175197	NaN	2695.463867	
57	-8.208555	-3.094405	NaN	2695.463867	
58	-8.285790	-3.009531	NaN	2695.463867	
59	-8.372070	-2.923642	NaN	2695.463867	
60	-8.464424	-2.839244	NaN	2695.463867	
61	-8.559380	-2.758181	NaN	2695.463867	
62	-8.653031	-2.681774	NaN	2695.463867	
63	-8.740197	-2.610946	NaN	2695.463867	
64	-8.814691	-2.546308	NaN	2695.463867	
65	-8.870969	-2.488238	NaN	2695.463867	
66	-8.905255	-2.436937	NaN	2695.463867	
67	-8.916178	-2.392477	NaN	2695.463867	
68	-8.905546	-2.354837	NaN	2695.463867	
69	-8.877573	-2.323927	NaN	2695.463867	
70	-8.837065	-2.299609	NaN	2695.463867	
71	-8.789112	-2.281709	NaN	2695.463867	
72	-8.739648	-2.269743	NaN	2695.463867	
73	-8.694626	-2.262347	NaN	2695.463867	
74	-8.657752	-2.257491	NaN	2695.463867	
75	-8.629253	-2.253506	NaN	2695.463867	
76	-8.607357	-2.249282	NaN	2695.463867	
77	-8.590812	-2.243657	NaN	2695.463867	
78	-8.579995	-2.235358	NaN	2695.463867	
79	-8.576074	-2.223504	NaN	2695.463867	
80	-8.579343	-2.207288	NaN	2695.463867	
81	-8.588375	-2.185101	NaN	2695.463867	
82	-8.600526	-2.155026	NaN	2695.463867	
83	-8.612658	-2.116149	NaN	2695.463867	
84	-8.621561	-2.069099	NaN	2695.463867	
85	-8.624638	-2.015819	NaN	2695.463867	
86	-8.620646	-1.958852	NaN	2695.463867	
87	-8.609914	-1.900388	NaN	2695.463867	
88	-8.594076	-1.841280	NaN	2695.463867	
