LIMS	// User ID
11-12-2017	// Evaluation date
P027__16__[321-17-58-51]	17-11-2017	17:58:46:995	// Source file name and timestamp
2000.000	// Sampling rate
4.113	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-9.256588	-6.604262	NaN	1765.390816	
1	-9.293279	-6.586264	NaN	1765.390816	
2	-9.327462	-6.567232	NaN	1765.390816	
3	-9.354305	-6.548099	NaN	1765.390816	
4	-9.369236	-6.529311	NaN	1765.390816	
5	-9.367699	-6.510576	NaN	1765.390816	
6	-9.345199	-6.491145	NaN	1765.390816	
7	-9.298529	-6.470626	NaN	1765.390816	
8	-9.227060	-6.449813	NaN	1765.390816	
9	-9.133605	-6.430740	NaN	1765.390816	
10	-9.024317	-6.415954	NaN	1765.390816	
11	-8.907321	-6.407820	NaN	1765.390816	
12	-8.790883	-6.408083	NaN	1765.390816	
13	-8.681876	-6.417120	NaN	1765.390816	
14	-8.585041	-6.433407	NaN	1765.390816	
15	-8.503005	-6.453987	NaN	1765.390816	
16	-8.436471	-6.475440	NaN	1765.390816	
17	-8.384590	-6.495090	NaN	1765.390816	
18	-8.345830	-6.512267	NaN	1765.390816	
19	-8.318504	-6.528253	NaN	1765.390816	
20	-8.300422	-6.544940	NaN	1765.390816	
21	-8.289091	-6.563796	NaN	1765.390816	
22	-8.282751	-6.585644	NaN	1765.390816	
23	-8.280297	-6.610978	NaN	1765.390816	
24	-8.280072	-6.640528	NaN	1765.390816	
25	-8.279498	-6.675001	NaN	1765.390816	
26	-8.275529	-6.713983	NaN	1765.390816	
27	-8.265069	-6.755612	NaN	1765.390816	
28	-8.245690	-6.797024	NaN	1765.390816	
29	-8.216379	-6.834464	NaN	1765.390816	
30	-8.177791	-6.863630	NaN	1765.390816	
31	-8.132010	-6.881676	NaN	1765.390816	
32	-8.081523	-6.889569	NaN	1765.390816	
33	-8.027933	-6.891565	NaN	1765.390816	
34	-7.972066	-6.892622	NaN	1765.390816	
35	-7.915495	-6.896684	NaN	1765.390816	
36	-7.861508	-6.906039	NaN	1765.390816	
37	-7.814161	-6.921431	NaN	1765.390816	
38	-7.775919	-6.942653	NaN	1765.390816	
39	-7.746074	-6.969081	NaN	1765.390816	
40	-7.721312	-7.000194	NaN	1765.390816	
41	-7.697877	-7.035530	NaN	1765.390816	
42	-7.673986	-7.074364	NaN	1765.390816	
43	-7.650339	-7.115930	NaN	1765.390816	
44	-7.628144	-7.159357	NaN	1765.390816	
45	-7.607179	-7.203042	NaN	1765.390816	
46	-7.585504	-7.244543	NaN	1765.390816	
47	-7.560530	-7.281270	NaN	1765.390816	
48	-7.530635	-7.311166	NaN	1765.390816	
49	-7.495961	-7.333145	NaN	1765.390816	
50	-7.457580	-7.347576	NaN	1765.390816	
51	-7.416119	-7.356570	NaN	1765.390816	
52	-7.371823	-7.364076	NaN	1765.390816	
53	-7.325743	-7.375229	NaN	1765.390816	
54	-7.279815	-7.394369	NaN	1765.390816	
55	-7.235545	-7.423288	NaN	1765.390816	
56	-7.193248	-7.461029	NaN	1765.390816	
57	-7.152956	-7.504942	NaN	1765.390816	
58	-7.115885	-7.552201	NaN	1765.390816	
59	-7.084813	-7.600760	NaN	1765.390816	
60	-7.063374	-7.649500	NaN	1765.390816	
61	-7.054817	-7.698142	NaN	1765.390816	
62	-7.061029	-7.746924	NaN	1765.390816	
63	-7.082923	-7.795743	NaN	1765.390816	
64	-7.120767	-7.843562	NaN	1765.390816	
65	-7.173319	-7.888882	NaN	1765.390816	
66	-7.237743	-7.930763	NaN	1765.390816	
67	-7.310873	-7.969865	NaN	1765.390816	
68	-7.390172	-8.008734	NaN	1765.390816	
69	-7.473847	-8.050507	NaN	1765.390816	
70	-7.560421	-8.097365	NaN	1765.390816	
71	-7.648034	-8.150058	NaN	1765.390816	
72	-7.734578	-8.208189	NaN	1765.390816	
73	-7.818988	-8.271007	NaN	1765.390816	
74	-7.901705	-8.338167	NaN	1765.390816	
75	-7.983205	-8.409675	NaN	1765.390816	
76	-8.062534	-8.484730	NaN	1765.390816	
77	-8.137779	-8.560239	NaN	1765.390816	
78	-8.207661	-8.630615	NaN	1765.390816	
79	-8.271996	-8.688854	NaN	1765.390816	
80	-8.330492	-8.727536	NaN	1765.390816	
81	-8.382114	-8.740101	NaN	1765.390816	
82	-8.425865	-8.723016	NaN	1765.390816	
83	-8.460992	-8.676986	NaN	1765.390816	
84	-8.486629	-8.605605	NaN	1765.390816	
85	-8.502315	-8.513045	NaN	1765.390816	
86	-8.508814	-8.402907	NaN	1765.390816	
87	-8.508146	-8.277903	NaN	1765.390816	
