LIMS	// User ID
11-12-2017	// Evaluation date
P025__18__[321-17-7-36]	17-11-2017	17:07:32:087	// Source file name and timestamp
2000.000	// Sampling rate
4.042	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-6.402482	-4.117609	NaN	1544.833803	
1	-6.408892	-4.096585	NaN	1544.833803	
2	-6.411265	-4.081355	NaN	1544.833803	
3	-6.411957	-4.074867	NaN	1544.833803	
4	-6.413368	-4.079329	NaN	1544.833803	
5	-6.416915	-4.096039	NaN	1544.833803	
6	-6.423096	-4.125451	NaN	1544.833803	
7	-6.432377	-4.167186	NaN	1544.833803	
8	-6.445504	-4.219995	NaN	1544.833803	
9	-6.462090	-4.281672	NaN	1544.833803	
10	-6.479436	-4.348906	NaN	1544.833803	
11	-6.493536	-4.417366	NaN	1544.833803	
12	-6.500600	-4.482553	NaN	1544.833803	
13	-6.497721	-4.540940	NaN	1544.833803	
14	-6.483587	-4.590029	NaN	1544.833803	
15	-6.458998	-4.627916	NaN	1544.833803	
16	-6.426046	-4.653721	NaN	1544.833803	
17	-6.386511	-4.668081	NaN	1544.833803	
18	-6.341096	-4.672607	NaN	1544.833803	
19	-6.290360	-4.669116	NaN	1544.833803	
20	-6.235924	-4.659160	NaN	1544.833803	
21	-6.180006	-4.643542	NaN	1544.833803	
22	-6.124413	-4.622648	NaN	1544.833803	
23	-6.070665	-4.597871	NaN	1544.833803	
24	-6.020109	-4.572533	NaN	1544.833803	
25	-5.973437	-4.551227	NaN	1544.833803	
26	-5.930468	-4.538385	NaN	1544.833803	
27	-5.890455	-4.537389	NaN	1544.833803	
28	-5.852652	-4.550473	NaN	1544.833803	
29	-5.816300	-4.578831	NaN	1544.833803	
30	-5.780614	-4.622671	NaN	1544.833803	
31	-5.745918	-4.681206	NaN	1544.833803	
32	-5.714261	-4.752587	NaN	1544.833803	
33	-5.688390	-4.834056	NaN	1544.833803	
34	-5.670748	-4.922884	NaN	1544.833803	
35	-5.663040	-5.017580	NaN	1544.833803	
36	-5.665462	-5.117762	NaN	1544.833803	
37	-5.676428	-5.222685	NaN	1544.833803	
38	-5.693929	-5.330294	NaN	1544.833803	
39	-5.716871	-5.437905	NaN	1544.833803	
40	-5.744719	-5.543674	NaN	1544.833803	
41	-5.776590	-5.647283	NaN	1544.833803	
42	-5.810907	-5.749020	NaN	1544.833803	
43	-5.845296	-5.848324	NaN	1544.833803	
44	-5.876740	-5.943421	NaN	1544.833803	
45	-5.902266	-6.031729	NaN	1544.833803	
46	-5.919649	-6.110229	NaN	1544.833803	
47	-5.927854	-6.176105	NaN	1544.833803	
48	-5.927556	-6.227667	NaN	1544.833803	
49	-5.920880	-6.265067	NaN	1544.833803	
50	-5.910351	-6.289998	NaN	1544.833803	
51	-5.898736	-6.304631	NaN	1544.833803	
52	-5.889192	-6.311154	NaN	1544.833803	
53	-5.883986	-6.311585	NaN	1544.833803	
54	-5.883461	-6.307318	NaN	1544.833803	
55	-5.887499	-6.298904	NaN	1544.833803	
56	-5.897533	-6.286365	NaN	1544.833803	
57	-5.916327	-6.270039	NaN	1544.833803	
58	-5.946667	-6.251167	NaN	1544.833803	
59	-5.990336	-6.231400	NaN	1544.833803	
60	-6.046738	-6.212057	NaN	1544.833803	
61	-6.112272	-6.193923	NaN	1544.833803	
62	-6.181264	-6.177579	NaN	1544.833803	
63	-6.247086	-6.164006	NaN	1544.833803	
64	-6.303228	-6.154355	NaN	1544.833803	
65	-6.344658	-6.148905	NaN	1544.833803	
66	-6.368982	-6.147074	NaN	1544.833803	
67	-6.377157	-6.148518	NaN	1544.833803	
68	-6.372955	-6.153111	NaN	1544.833803	
69	-6.360834	-6.159823	NaN	1544.833803	
70	-6.344147	-6.166382	NaN	1544.833803	
71	-6.325027	-6.169719	NaN	1544.833803	
72	-6.305084	-6.166367	NaN	1544.833803	
73	-6.285203	-6.153130	NaN	1544.833803	
74	-6.265029	-6.127761	NaN	1544.833803	
75	-6.244401	-6.089140	NaN	1544.833803	
76	-6.225087	-6.037514	NaN	1544.833803	
77	-6.210018	-5.975372	NaN	1544.833803	
78	-6.201719	-5.907879	NaN	1544.833803	
79	-6.201867	-5.841496	NaN	1544.833803	
80	-6.211379	-5.781826	NaN	1544.833803	
81	-6.230459	-5.732537	NaN	1544.833803	
82	-6.258600	-5.695298	NaN	1544.833803	
83	-6.294548	-5.669895	NaN	1544.833803	
84	-6.336511	-5.654527	NaN	1544.833803	
85	-6.382913	-5.646565	NaN	1544.833803	
86	-6.432863	-5.643273	NaN	1544.833803	
87	-6.485506	-5.642238	NaN	1544.833803	
88	-6.539088	-5.641806	NaN	1544.833803	
89	-6.590830	-5.641006	NaN	1544.833803	
90	-6.637914	-5.639217	NaN	1544.833803	
91	-6.678751	-5.636421	NaN	1544.833803	
92	-6.713157	-5.633202	NaN	1544.833803	
93	-6.741747	-5.630215	NaN	1544.833803	
94	-6.765654	-5.627667	NaN	1544.833803	
95	-6.786279	-5.624762	NaN	1544.833803	
96	-6.804480	-5.619949	NaN	1544.833803	
97	-6.820028	-5.611962	NaN	1544.833803	
98	-6.832160	-5.600042	NaN	1544.833803	
99	-6.840394	-5.583623	NaN	1544.833803	
100	-6.844789	-5.562588	NaN	1544.833803	
101	-6.845940	-5.537280	NaN	1544.833803	
102	-6.844719	-5.508249	NaN	1544.833803	
103	-6.841452	-5.476851	NaN	1544.833803	
104	-6.835359	-5.445900	NaN	1544.833803	
105	-6.825380	-5.418983	NaN	1544.833803	
106	-6.811574	-5.398985	NaN	1544.833803	
107	-6.795119	-5.387123	NaN	1544.833803	
108	-6.776947	-5.383026	NaN	1544.833803	
109	-6.756929	-5.385560	NaN	1544.833803	
110	-6.734460	-5.393613	NaN	1544.833803	
111	-6.709014	-5.406321	NaN	1544.833803	
112	-6.679851	-5.423014	NaN	1544.833803	
113	-6.646276	-5.443181	NaN	1544.833803	
114	-6.608779	-5.466430	NaN	1544.833803	
115	-6.569083	-5.492457	NaN	1544.833803	
116	-6.529095	-5.521017	NaN	1544.833803	
117	-6.490740	-5.551897	NaN	1544.833803	
