LIMS	// User ID
11-12-2017	// Evaluation date
P023__32__[321-16-30-55]	17-11-2017	16:30:52:293	// Source file name and timestamp
2000.000	// Sampling rate
3.579	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	0.008974	-1.390325	NaN	1886.866069	
1	0.009769	-1.365634	NaN	1886.866069	
2	-0.012130	-1.344299	NaN	1886.866069	
3	-0.057111	-1.326788	NaN	1886.866069	
4	-0.124768	-1.311766	NaN	1886.866069	
5	-0.213851	-1.296315	NaN	1886.866069	
6	-0.322162	-1.276645	NaN	1886.866069	
7	-0.446676	-1.249306	NaN	1886.866069	
8	-0.584481	-1.212711	NaN	1886.866069	
9	-0.733704	-1.167354	NaN	1886.866069	
10	-0.892469	-1.114456	NaN	1886.866069	
11	-1.056981	-1.055494	NaN	1886.866069	
12	-1.221813	-0.992313	NaN	1886.866069	
13	-1.381842	-0.926409	NaN	1886.866069	
14	-1.533333	-0.858765	NaN	1886.866069	
15	-1.673938	-0.790504	NaN	1886.866069	
16	-1.802488	-0.723261	NaN	1886.866069	
17	-1.918845	-0.659033	NaN	1886.866069	
18	-2.023818	-0.599475	NaN	1886.866069	
19	-2.119130	-0.545469	NaN	1886.866069	
20	-2.207147	-0.497759	NaN	1886.866069	
21	-2.290079	-0.457868	NaN	1886.866069	
22	-2.369450	-0.428193	NaN	1886.866069	
23	-2.446418	-0.411042	NaN	1886.866069	
24	-2.521493	-0.407360	NaN	1886.866069	
25	-2.593359	-0.416790	NaN	1886.866069	
26	-2.658764	-0.438779	NaN	1886.866069	
27	-2.713756	-0.472819	NaN	1886.866069	
28	-2.754883	-0.517852	NaN	1886.866069	
29	-2.780142	-0.571917	NaN	1886.866069	
30	-2.789431	-0.632300	NaN	1886.866069	
31	-2.783952	-0.695930	NaN	1886.866069	
32	-2.765396	-0.759184	NaN	1886.866069	
33	-2.735748	-0.817948	NaN	1886.866069	
34	-2.697393	-0.869611	NaN	1886.866069	
35	-2.652969	-0.914577	NaN	1886.866069	
36	-2.604653	-0.954575	NaN	1886.866069	
37	-2.553725	-0.990476	NaN	1886.866069	
38	-2.501237	-1.022316	NaN	1886.866069	
39	-2.448958	-1.050111	NaN	1886.866069	
40	-2.399503	-1.074401	NaN	1886.866069	
41	-2.355621	-1.096816	NaN	1886.866069	
42	-2.319509	-1.119583	NaN	1886.866069	
