LIMS	// User ID
11-12-2017	// Evaluation date
P025__20__[321-17-8-42]	17-11-2017	17:08:38:029	// Source file name and timestamp
2000.000	// Sampling rate
3.990	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-3.696367	-4.989062	NaN	1639.896306	
1	-3.758575	-4.980291	NaN	1639.896306	
2	-3.817546	-4.982775	NaN	1639.896306	
3	-3.871586	-4.994327	NaN	1639.896306	
4	-3.917904	-5.011751	NaN	1639.896306	
5	-3.953014	-5.032361	NaN	1639.896306	
6	-3.972533	-5.054948	NaN	1639.896306	
7	-3.972093	-5.078875	NaN	1639.896306	
8	-3.949134	-5.103464	NaN	1639.896306	
9	-3.903058	-5.128794	NaN	1639.896306	
10	-3.833775	-5.155964	NaN	1639.896306	
11	-3.740865	-5.186574	NaN	1639.896306	
12	-3.624460	-5.222230	NaN	1639.896306	
13	-3.486752	-5.263766	NaN	1639.896306	
14	-3.332466	-5.310419	NaN	1639.896306	
15	-3.168311	-5.359771	NaN	1639.896306	
16	-3.001684	-5.408438	NaN	1639.896306	
17	-2.838545	-5.452705	NaN	1639.896306	
18	-2.682088	-5.488877	NaN	1639.896306	
19	-2.533578	-5.513901	NaN	1639.896306	
20	-2.393955	-5.526034	NaN	1639.896306	
21	-2.264258	-5.524738	NaN	1639.896306	
22	-2.145476	-5.510087	NaN	1639.896306	
23	-2.038970	-5.482774	NaN	1639.896306	
24	-1.946611	-5.444430	NaN	1639.896306	
25	-1.870361	-5.397447	NaN	1639.896306	
26	-1.811569	-5.344836	NaN	1639.896306	
27	-1.769640	-5.289854	NaN	1639.896306	
28	-1.741757	-5.235071	NaN	1639.896306	
29	-1.724778	-5.182262	NaN	1639.896306	
30	-1.717124	-5.132803	NaN	1639.896306	
31	-1.718992	-5.087214	NaN	1639.896306	
32	-1.731218	-5.044658	NaN	1639.896306	
33	-1.753590	-5.003765	NaN	1639.896306	
34	-1.783963	-4.963990	NaN	1639.896306	
35	-1.819004	-4.925891	NaN	1639.896306	
36	-1.855735	-4.890621	NaN	1639.896306	
37	-1.892229	-4.859451	NaN	1639.896306	
38	-1.926916	-4.833014	NaN	1639.896306	
39	-1.957902	-4.810801	NaN	1639.896306	
40	-1.983432	-4.791985	NaN	1639.896306	
41	-2.002647	-4.776797	NaN	1639.896306	
42	-2.016104	-4.766546	NaN	1639.896306	
43	-2.026365	-4.762299	NaN	1639.896306	
44	-2.037542	-4.764097	NaN	1639.896306	
45	-2.053479	-4.771523	NaN	1639.896306	
46	-2.076778	-4.784515	NaN	1639.896306	
47	-2.109215	-4.803643	NaN	1639.896306	
48	-2.152096	-4.829846	NaN	1639.896306	
49	-2.206303	-4.863907	NaN	1639.896306	
50	-2.272315	-4.906480	NaN	1639.896306	
51	-2.349906	-4.958376	NaN	1639.896306	
52	-2.437517	-5.020023	NaN	1639.896306	
53	-2.532421	-5.090610	NaN	1639.896306	
54	-2.631969	-5.167733	NaN	1639.896306	
55	-2.734268	-5.247506	NaN	1639.896306	
56	-2.837736	-5.325446	NaN	1639.896306	
57	-2.940670	-5.397871	NaN	1639.896306	
58	-3.040807	-5.462512	NaN	1639.896306	
59	-3.135441	-5.517793	NaN	1639.896306	
60	-3.222948	-5.562153	NaN	1639.896306	
61	-3.303519	-5.594494	NaN	1639.896306	
62	-3.378244	-5.614938	NaN	1639.896306	
63	-3.447965	-5.624813	NaN	1639.896306	
64	-3.512120	-5.625587	NaN	1639.896306	
65	-3.568959	-5.617536	NaN	1639.896306	
66	-3.616858	-5.599757	NaN	1639.896306	
67	-3.654202	-5.571248	NaN	1639.896306	
68	-3.678987	-5.531151	NaN	1639.896306	
69	-3.689562	-5.478721	NaN	1639.896306	
70	-3.684822	-5.414718	NaN	1639.896306	
71	-3.663853	-5.342595	NaN	1639.896306	
72	-3.626181	-5.267308	NaN	1639.896306	
73	-3.571760	-5.193097	NaN	1639.896306	
74	-3.500707	-5.122617	NaN	1639.896306	
75	-3.413627	-5.057682	NaN	1639.896306	
76	-3.311689	-4.999958	NaN	1639.896306	
77	-3.196163	-4.950802	NaN	1639.896306	
78	-3.068831	-4.911372	NaN	1639.896306	
79	-2.933595	-4.882990	NaN	1639.896306	
80	-2.796745	-4.866676	NaN	1639.896306	
81	-2.664764	-4.862376	NaN	1639.896306	
82	-2.542720	-4.868690	NaN	1639.896306	
83	-2.434311	-4.882803	NaN	1639.896306	
84	-2.341547	-4.900623	NaN	1639.896306	
85	-2.264057	-4.917689	NaN	1639.896306	
86	-2.199123	-4.930609	NaN	1639.896306	
87	-2.142749	-4.938007	NaN	1639.896306	
88	-2.091232	-4.940442	NaN	1639.896306	
89	-2.042164	-4.939313	NaN	1639.896306	
90	-1.994345	-4.935531	NaN	1639.896306	
91	-1.946888	-4.929559	NaN	1639.896306	
92	-1.898630	-4.922565	NaN	1639.896306	
93	-1.848677	-4.916476	NaN	1639.896306	
94	-1.796969	-4.912964	NaN	1639.896306	
95	-1.743440	-4.913251	NaN	1639.896306	
96	-1.686896	-4.918456	NaN	1639.896306	
97	-1.625855	-4.929084	NaN	1639.896306	
98	-1.560522	-4.944496	NaN	1639.896306	
99	-1.492839	-4.963424	NaN	1639.896306	
100	-1.424319	-4.984462	NaN	1639.896306	
101	-1.354718	-5.005701	NaN	1639.896306	
102	-1.283221	-5.024905	NaN	1639.896306	
103	-1.210172	-5.040779	NaN	1639.896306	
104	-1.137427	-5.053737	NaN	1639.896306	
105	-1.067626	-5.065351	NaN	1639.896306	
106	-1.003502	-5.077582	NaN	1639.896306	
107	-0.947490	-5.092312	NaN	1639.896306	
108	-0.901305	-5.110591	NaN	1639.896306	
109	-0.866067	-5.131837	NaN	1639.896306	
110	-0.842961	-5.153803	NaN	1639.896306	
111	-0.833605	-5.173565	NaN	1639.896306	
112	-0.840146	-5.188761	NaN	1639.896306	
113	-0.865086	-5.197746	NaN	1639.896306	
114	-0.910247	-5.199216	NaN	1639.896306	
115	-0.975693	-5.192418	NaN	1639.896306	
116	-1.059996	-5.177114	NaN	1639.896306	
117	-1.160412	-5.153012	NaN	1639.896306	
118	-1.271824	-5.119759	NaN	1639.896306	
119	-1.386715	-5.077781	NaN	1639.896306	
120	-1.497318	-5.028604	NaN	1639.896306	
121	-1.597754	-4.973836	NaN	1639.896306	
122	-1.684244	-4.914717	NaN	1639.896306	
