LIMS	// User ID
11-12-2017	// Evaluation date
P030__34__[321-19-30-37]	17-11-2017	19:30:34:079	// Source file name and timestamp
2000.000	// Sampling rate
3.848	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	8.860142	-5.001241	NaN	2797.157737	
1	8.879615	-5.046958	NaN	2797.157737	
2	8.886835	-5.080856	NaN	2797.157737	
3	8.883226	-5.100143	NaN	2797.157737	
4	8.870705	-5.103695	NaN	2797.157737	
5	8.851772	-5.093108	NaN	2797.157737	
6	8.829648	-5.071380	NaN	2797.157737	
7	8.808444	-5.040821	NaN	2797.157737	
8	8.792805	-5.002633	NaN	2797.157737	
9	8.786425	-4.957537	NaN	2797.157737	
10	8.791085	-4.906121	NaN	2797.157737	
11	8.807326	-4.848614	NaN	2797.157737	
12	8.834472	-4.784650	NaN	2797.157737	
13	8.870008	-4.714124	NaN	2797.157737	
14	8.910593	-4.638348	NaN	2797.157737	
15	8.953600	-4.559878	NaN	2797.157737	
16	8.997535	-4.481572	NaN	2797.157737	
17	9.041940	-4.405657	NaN	2797.157737	
18	9.087338	-4.333338	NaN	2797.157737	
19	9.135236	-4.265455	NaN	2797.157737	
20	9.187590	-4.203137	NaN	2797.157737	
21	9.245148	-4.147337	NaN	2797.157737	
22	9.306300	-4.098358	NaN	2797.157737	
23	9.368113	-4.056468	NaN	2797.157737	
24	9.427880	-4.022495	NaN	2797.157737	
25	9.483520	-3.997622	NaN	2797.157737	
26	9.533439	-3.983462	NaN	2797.157737	
27	9.576415	-3.982437	NaN	2797.157737	
28	9.611509	-3.997346	NaN	2797.157737	
29	9.637986	-4.030666	NaN	2797.157737	
30	9.655261	-4.084109	NaN	2797.157737	
31	9.662852	-4.157843	NaN	2797.157737	
32	9.660344	-4.249914	NaN	2797.157737	
33	9.647365	-4.356934	NaN	2797.157737	
34	9.623571	-4.475540	NaN	2797.157737	
35	9.588633	-4.602998	NaN	2797.157737	
36	9.542236	-4.736710	NaN	2797.157737	
37	9.484087	-4.874007	NaN	2797.157737	
38	9.414218	-5.012495	NaN	2797.157737	
39	9.333884	-5.150406	NaN	2797.157737	
40	9.246253	-5.287265	NaN	2797.157737	
41	9.155453	-5.424337	NaN	2797.157737	
42	9.064243	-5.563774	NaN	2797.157737	
43	8.972763	-5.706947	NaN	2797.157737	
44	8.879751	-5.853598	NaN	2797.157737	
45	8.784268	-6.002293	NaN	2797.157737	
46	8.685995	-6.151100	NaN	2797.157737	
47	8.584417	-6.297678	NaN	2797.157737	
48	8.478272	-6.439071	NaN	2797.157737	
49	8.366139	-6.571748	NaN	2797.157737	
50	8.247288	-6.692177	NaN	2797.157737	
51	8.122011	-6.797408	NaN	2797.157737	
52	7.991702	-6.885128	NaN	2797.157737	
53	7.859010	-6.953483	NaN	2797.157737	
54	7.727471	-7.000930	NaN	2797.157737	
55	7.600044	-7.026118	NaN	2797.157737	
56	7.478178	-7.028069	NaN	2797.157737	
57	7.363123	-7.006955	NaN	2797.157737	
58	7.257798	-6.964385	NaN	2797.157737	
59	7.167003	-6.901819	NaN	2797.157737	
60	7.095710	-6.818709	NaN	2797.157737	
61	7.047350	-6.713349	NaN	2797.157737	
62	7.024022	-6.585642	NaN	2797.157737	
63	7.027214	-6.437997	NaN	2797.157737	
64	7.057594	-6.273572	NaN	2797.157737	
65	7.114759	-6.094843	NaN	2797.157737	
66	7.197195	-5.904110	NaN	2797.157737	
67	7.301875	-5.704565	NaN	2797.157737	
68	7.424060	-5.500565	NaN	2797.157737	
69	7.558436	-5.296855	NaN	2797.157737	
70	7.699932	-5.097257	NaN	2797.157737	
71	7.843087	-4.904144	NaN	2797.157737	
72	7.982274	-4.719241	NaN	2797.157737	
73	8.112768	-4.544395	NaN	2797.157737	
74	8.231001	-4.381218	NaN	2797.157737	
75	8.334304	-4.230440	NaN	2797.157737	
76	8.420698	-4.092045	NaN	2797.157737	
77	8.488736	-3.966202	NaN	2797.157737	
78	8.537371	-3.853924	NaN	2797.157737	
79	8.565867	-3.756632	NaN	2797.157737	
80	8.573728	-3.675457	NaN	2797.157737	
81	8.560658	-3.611079	NaN	2797.157737	
82	8.526540	-3.563813	NaN	2797.157737	
83	8.471440	-3.533659	NaN	2797.157737	
84	8.395628	-3.520337	NaN	2797.157737	
85	8.299632	-3.523287	NaN	2797.157737	
86	8.184304	-3.541655	NaN	2797.157737	
87	8.050926	-3.574243	NaN	2797.157737	
88	7.901059	-3.619442	NaN	2797.157737	
89	7.735835	-3.675128	NaN	2797.157737	
90	7.555532	-3.738532	NaN	2797.157737	
91	7.360268	-3.806342	NaN	2797.157737	
92	7.150982	-3.875344	NaN	2797.157737	
93	6.929891	-3.943053	NaN	2797.157737	
94	6.700730	-4.008109	NaN	2797.157737	
95	6.469079	-4.070727	NaN	2797.157737	
96	6.242203	-4.132386	NaN	2797.157737	
97	6.026965	-4.194463	NaN	2797.157737	
98	5.826560	-4.257151	NaN	2797.157737	
99	5.640237	-4.319423	NaN	2797.157737	
100	5.466260	-4.379784	NaN	2797.157737	
101	5.303387	-4.436717	NaN	2797.157737	
102	5.150623	-4.488293	NaN	2797.157737	
103	5.007851	-4.532313	NaN	2797.157737	
104	4.875342	-4.567291	NaN	2797.157737	
105	4.751552	-4.592629	NaN	2797.157737	
106	4.633129	-4.608287	NaN	2797.157737	
107	4.517128	-4.615046	NaN	2797.157737	
108	4.401511	-4.614254	NaN	2797.157737	
109	4.284547	-4.606495	NaN	2797.157737	
110	4.165371	-4.591055	NaN	2797.157737	
111	4.044012	-4.567292	NaN	2797.157737	
112	3.920894	-4.536012	NaN	2797.157737	
113	3.797510	-4.499245	NaN	2797.157737	
114	3.675994	-4.459524	NaN	2797.157737	
115	3.557000	-4.419757	NaN	2797.157737	
116	3.439807	-4.383116	NaN	2797.157737	
