LIMS	// User ID
11-12-2017	// Evaluation date
P028__2__[321-18-12-47]	17-11-2017	18:12:43:596	// Source file name and timestamp
2000.000	// Sampling rate
3.994	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
0	565.743757	-1.897140	-246.368815	304.243904	NaN	NaN	NaN	NaN	0.000000	
1	565.959413	-1.890202	-246.361816	304.174579	NaN	NaN	NaN	NaN	0.000000	
2	566.187560	-1.876481	-246.354756	304.105944	NaN	NaN	NaN	NaN	0.000000	
3	566.425672	-1.857575	-246.347446	304.038763	NaN	NaN	NaN	NaN	0.000000	
4	566.670077	-1.834622	-246.339434	303.973471	NaN	NaN	NaN	NaN	0.000000	
5	566.916203	-1.808929	-246.330490	303.909993	NaN	NaN	NaN	NaN	0.000000	
6	567.158780	-1.782885	-246.320968	303.848266	NaN	NaN	NaN	NaN	0.000000	
7	567.392567	-1.758982	-246.311659	303.788528	NaN	NaN	NaN	NaN	0.000000	
8	567.613680	-1.738557	-246.303401	303.730882	NaN	NaN	NaN	NaN	0.000000	
9	567.820113	-1.722148	-246.296772	303.674968	NaN	NaN	NaN	NaN	0.000000	
10	568.010925	-1.710378	-246.291886	303.620477	NaN	NaN	NaN	NaN	0.000000	
11	568.185197	-1.704275	-246.288368	303.568023	NaN	NaN	NaN	NaN	0.000000	
12	568.341586	-1.705050	-246.285669	303.519085	NaN	NaN	NaN	NaN	0.000000	
13	568.478430	-1.713600	-246.283356	303.475012	NaN	NaN	NaN	NaN	0.000000	
14	568.594440	-1.730555	-246.280996	303.436511	NaN	NaN	NaN	NaN	0.000000	
15	568.689410	-1.756583	-246.278050	303.403835	NaN	NaN	NaN	NaN	0.000000	
16	568.764714	-1.791854	-246.274083	303.377069	NaN	NaN	NaN	NaN	0.000000	
17	568.823894	-1.835469	-246.268857	303.356400	NaN	NaN	NaN	NaN	0.000000	
18	568.872496	-1.886239	-246.262137	303.342020	NaN	NaN	NaN	NaN	0.000000	
19	568.916872	-1.943992	-246.253662	303.333536	NaN	NaN	NaN	NaN	0.000000	
20	568.963027	-2.009534	-246.243248	303.329585	NaN	NaN	NaN	NaN	0.000000	
21	569.015443	-2.083536	-246.230759	303.328135	NaN	NaN	NaN	NaN	0.000000	
22	569.075838	-2.166246	-246.216225	303.326997	NaN	NaN	NaN	NaN	0.000000	
23	569.143217	-2.257734	-246.200098	303.323956	NaN	NaN	NaN	NaN	0.000000	
24	569.215227	-2.357286	-246.183309	303.317039	NaN	NaN	NaN	NaN	0.000000	
25	569.289437	-2.462753	-246.167085	303.305269	NaN	NaN	NaN	NaN	0.000000	
26	569.364329	-2.570938	-246.152727	303.288875	NaN	NaN	NaN	NaN	0.000000	
27	569.439460	-2.677934	-246.141483	303.268451	NaN	NaN	NaN	NaN	0.000000	
28	569.514245	-2.778581	-246.134525	303.244261	NaN	NaN	NaN	NaN	0.000000	
29	569.587302	-2.866700	-246.132782	303.216506	NaN	NaN	NaN	NaN	0.000000	
30	569.657200	-2.936964	-246.136631	303.185964	NaN	NaN	NaN	NaN	0.000000	
31	569.722633	-2.986534	-246.145985	303.153924	NaN	NaN	NaN	NaN	0.000000	
32	569.782023	-3.015430	-246.160738	303.121411	NaN	NaN	NaN	NaN	0.000000	
