LIMS	// User ID
11-12-2017	// Evaluation date
P022__22__[321-16-3-31]	17-11-2017	16:03:28:006	// Source file name and timestamp
2000.000	// Sampling rate
3.583	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-5.216697	-0.710137	NaN	1389.124243	
1	-5.216737	-0.747594	NaN	1389.124243	
2	-5.235146	-0.791690	NaN	1389.124243	
3	-5.271423	-0.842387	NaN	1389.124243	
4	-5.323649	-0.900283	NaN	1389.124243	
5	-5.388655	-0.965774	NaN	1389.124243	
6	-5.461834	-1.038476	NaN	1389.124243	
7	-5.536868	-1.117721	NaN	1389.124243	
8	-5.607100	-1.203046	NaN	1389.124243	
9	-5.667749	-1.293555	NaN	1389.124243	
10	-5.716781	-1.387264	NaN	1389.124243	
11	-5.753906	-1.481504	NaN	1389.124243	
12	-5.779089	-1.573572	NaN	1389.124243	
13	-5.792528	-1.660813	NaN	1389.124243	
14	-5.795801	-1.740435	NaN	1389.124243	
15	-5.791934	-1.809312	NaN	1389.124243	
16	-5.784113	-1.864060	NaN	1389.124243	
17	-5.774685	-1.901945	NaN	1389.124243	
18	-5.765000	-1.922109	NaN	1389.124243	
19	-5.755764	-1.925508	NaN	1389.124243	
20	-5.747953	-1.913544	NaN	1389.124243	
21	-5.743437	-1.887296	NaN	1389.124243	
22	-5.744508	-1.848138	NaN	1389.124243	
23	-5.753125	-1.798390	NaN	1389.124243	
24	-5.770732	-1.740889	NaN	1389.124243	
25	-5.798313	-1.678330	NaN	1389.124243	
26	-5.836443	-1.612872	NaN	1389.124243	
27	-5.885287	-1.545447	NaN	1389.124243	
28	-5.944594	-1.475567	NaN	1389.124243	
29	-6.013362	-1.402742	NaN	1389.124243	
30	-6.088885	-1.327895	NaN	1389.124243	
31	-6.166002	-1.253175	NaN	1389.124243	
32	-6.237943	-1.180992	NaN	1389.124243	
33	-6.298830	-1.113062	NaN	1389.124243	
34	-6.345639	-1.049984	NaN	1389.124243	
35	-6.377445	-0.991864	NaN	1389.124243	
36	-6.393318	-0.938923	NaN	1389.124243	
37	-6.391975	-0.890987	NaN	1389.124243	
38	-6.373147	-0.846944	NaN	1389.124243	
39	-6.338430	-0.805288	NaN	1389.124243	
40	-6.290512	-0.764902	NaN	1389.124243	
41	-6.231596	-0.725311	NaN	1389.124243	
42	-6.162681	-0.686687	NaN	1389.124243	
43	-6.084219	-0.649875	NaN	1389.124243	
44	-5.996761	-0.616465	NaN	1389.124243	
45	-5.900742	-0.588893	NaN	1389.124243	
46	-5.796846	-0.570301	NaN	1389.124243	
47	-5.687255	-0.563594	NaN	1389.124243	
48	-5.575820	-0.569917	NaN	1389.124243	
49	-5.467171	-0.587877	NaN	1389.124243	
50	-5.366434	-0.614031	NaN	1389.124243	
51	-5.278987	-0.643818	NaN	1389.124243	
52	-5.209628	-0.672997	NaN	1389.124243	
53	-5.162299	-0.699657	NaN	1389.124243	
54	-5.139747	-0.724938	NaN	1389.124243	
55	-5.142246	-0.751955	NaN	1389.124243	
56	-5.166763	-0.784539	NaN	1389.124243	
57	-5.207670	-0.826012	NaN	1389.124243	
58	-5.258466	-0.878212	NaN	1389.124243	
59	-5.313731	-0.942402	NaN	1389.124243	
60	-5.370559	-1.020693	NaN	1389.124243	
61	-5.428374	-1.114997	NaN	1389.124243	
62	-5.487715	-1.225392	NaN	1389.124243	
63	-5.549941	-1.350624	NaN	1389.124243	
64	-5.617544	-1.488821	NaN	1389.124243	
65	-5.693377	-1.637318	NaN	1389.124243	
66	-5.779018	-1.792998	NaN	1389.124243	
67	-5.873940	-1.952885	NaN	1389.124243	
68	-5.976297	-2.114177	NaN	1389.124243	
69	-6.084212	-2.274010	NaN	1389.124243	
70	-6.195622	-2.429210	NaN	1389.124243	
71	-6.307242	-2.576039	NaN	1389.124243	
72	-6.414909	-2.710192	NaN	1389.124243	
